x,y,site_id,date,water_year,water_day,swe,year,peak_swe,sm50_swe,peak_date,peak_day,peak_met,sm50_day,sm50_date,sm50_met,apr1_swe,ptile_swe,wy_n,elev_ft,latitude,longitude,site_name,sntl_id,d_peak,d_sm50,d_apr1,d_swe,apr1_x,apr1_y,peak_x,peak_y,sm50_x,sm50_y
105.7,15.29,515,2021-03-22,2021,173,50.7,2021,50.7,25.35,2021-03-22,173,TBD,173,2021-03-22,TBD,50.7,0.8214285714285714,28,6490,48.72,-120.66,Harts Pass,SNTL:515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69.78,62.9,553,2021-03-22,2021,173,49.7,2021,49.7,24.85,2021-03-22,173,TBD,173,2021-03-22,TBD,49.7,NA,1,3440,46.15,-122.15,June Lake,SNTL:553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73.24,61.18,591,2021-03-22,2021,173,44.5,2021,44.5,22.25,2021-03-22,173,TBD,173,2021-03-22,TBD,44.5,0.7586206896551724,29,3930,46.27,-121.96,Lone Pine,SNTL:591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86.54,62.82,599,2021-03-22,2021,173,18.5,2021,18.5,9.25,2021-03-22,173,TBD,173,2021-03-22,TBD,18.5,0.55,20,5120,46.36,-121.08,Lost Horse,SNTL:599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99.16,25.11,606,2021-03-22,2021,173,56.2,2021,56.2,28.1,2021-03-22,173,TBD,173,2021-03-22,TBD,56.2,0.5185185185185185,27,5980,48.2,-120.92,Lyman Lake,SNTL:606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83.88,49.77,642,2021-03-22,2021,173,NA,2021,51,25.5,2021-03-01,152,2021-03-01,173,2021-03-22,TBD,NA,NA,28,5410,46.91,-121.48,Morse Lake,SNTL:642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126.07,28.5,644,2021-03-22,2021,173,16.6,2021,16.6,8.3,2021-03-22,173,TBD,173,2021-03-22,TBD,16.6,NA,19,5010,48.36,-119.08,Moses Mtn,SNTL:644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79.25,51.4,679,2021-03-22,2021,173,86.2,2021,86.2,43.1,2021-03-22,173,TBD,173,2021-03-22,TBD,86.2,0.8928571428571429,28,5130,46.78,-121.75,Paradise,SNTL:679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100.5,20.13,681,2021-03-22,2021,173,52.9,2021,53,26.5,2021-03-20,171,2021-03-20,173,2021-03-22,TBD,52.9,0.7666666666666667,30,4600,48.44,-120.92,Park Creek Ridge,SNTL:681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83.52,56.17,692,2021-03-22,2021,173,51.6,2021,51.6,25.8,2021-03-22,173,TBD,173,2021-03-22,TBD,51.6,0.5862068965517241,29,5800,46.62,-121.39,Pigtail Peak,SNTL:692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102.95,30.8,699,2021-03-22,2021,173,19.2,2021,20.7,10.35,2021-03-15,166,2021-03-15,173,2021-03-22,TBD,19.2,0.7586206896551724,29,3590,47.99,-120.57,Pope Ridge,SNTL:699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80.24,61.33,702,2021-03-22,2021,173,36.6,2021,36.6,18.3,2021-03-22,173,TBD,173,2021-03-22,TBD,36.6,0.8518518518518519,27,4510,46.35,-121.51,Potato Hill,SNTL:702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152.07,45.26,707,2021-03-22,2021,173,19.5,2021,21,10.5,2021-03-03,154,2021-03-03,173,2021-03-22,TBD,19.5,0.43478260869565216,23,4700,47.88,-117.09,Quartz Peak,SNTL:707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103.47,19.14,711,2021-03-22,2021,173,39.6,2021,39.9,19.95,2021-03-20,171,2021-03-20,173,2021-03-22,TBD,39.6,0.6428571428571429,28,4890,48.52,-120.74,Rainy Pass,SNTL:711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116.9,19.55,728,2021-03-22,2021,173,11.2,2021,11.5,5.75,2021-03-05,156,2021-03-05,173,2021-03-22,TBD,11.2,0.7142857142857143,28,4460,48.66,-119.84,Salmon Meadows,SNTL:728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68.56,61.66,748,2021-03-22,2021,173,46.8,2021,46.8,23.4,2021-03-22,173,TBD,173,2021-03-22,TBD,46.8,NA,NA,3990,46.19,-122.25,Sheep Canyon,SNTL:748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73.15,63.18,776,2021-03-22,2021,173,31.5,2021,31.5,15.75,2021-03-22,173,TBD,173,2021-03-22,TBD,31.5,0.5925925925925926,27,3400,46.18,-121.93,Spencer Meadow,SNTL:776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69.99,60.49,777,2021-03-22,2021,173,15.9,2021,16.4,8.2,2021-03-16,167,2021-03-16,173,2021-03-22,TBD,15.9,0.9230769230769231,26,3520,46.26,-122.18,Spirit Lake,SNTL:777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87.95,42.83,788,2021-03-22,2021,173,45.1,2021,45.1,22.55,2021-03-22,173,TBD,173,2021-03-22,TBD,45.1,0.6428571428571429,28,3850,47.27,-121.34,Stampede Pass,SNTL:788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94.23,33.81,791,2021-03-22,2021,173,52.2,2021,52.2,26.1,2021-03-22,173,TBD,173,2021-03-22,TBD,52.2,0.9,30,3950,47.75,-121.09,Stevens Pass,SNTL:791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100.01,18,817,2021-03-22,2021,173,NA,2021,34.1,17.05,2021-03-01,152,2021-03-01,173,2021-03-22,TBD,NA,NA,22,4320,48.53,-120.99,Thunder Basin,SNTL:817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132.51,79.76,824,2021-03-22,2021,173,31.7,2021,32.3,16.15,2021-03-18,169,2021-03-18,173,2021-03-22,TBD,31.7,0.6551724137931034,29,5530,46.12,-117.85,Touchet,SNTL:824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102.79,47.69,832,2021-03-22,2021,173,11.3,2021,11.3,5.65,2021-03-22,173,TBD,173,2021-03-22,TBD,11.3,0.7,30,5480,47.23,-120.29,Trough,SNTL:832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101.97,46.13,841,2021-03-22,2021,173,10.5,2021,10.5,5.25,2021-03-22,173,TBD,173,2021-03-22,TBD,10.5,0.3103448275862069,29,4330,47.29,-120.37,Upper Wheeler,SNTL:841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83.78,55.79,863,2021-03-22,2021,173,30.8,2021,30.8,15.4,2021-03-22,173,TBD,173,2021-03-22,TBD,30.8,0.9310344827586207,29,4440,46.64,-121.38,White Pass E.S.,SNTL:863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86.14,42.11,897,2021-03-22,2021,173,39.1,2021,39.1,19.55,2021-03-22,173,TBD,173,2021-03-22,TBD,39.1,NA,17,3230,47.28,-121.47,Meadows Pass,SNTL:897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85.17,40.05,898,2021-03-22,2021,173,13.2,2021,13.5,6.75,2021-03-01,152,2021-03-01,173,2021-03-22,TBD,13.2,NA,17,2920,47.36,-121.57,Mount Gardner,SNTL:898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86.43,41.07,899,2021-03-22,2021,173,35.1,2021,35.1,17.55,2021-03-22,173,TBD,173,2021-03-22,TBD,35.1,NA,17,2990,47.33,-121.47,Tinkham Creek,SNTL:899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85.73,30.81,908,2021-03-22,2021,173,60.2,2021,60.2,30.1,2021-03-22,173,TBD,173,2021-03-22,TBD,60.2,NA,16,3500,47.78,-121.7,Alpine Meadows,SNTL:908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90.73,7.89,909,2021-03-22,2021,173,38.7,2021,38.7,19.35,2021-03-22,173,TBD,173,2021-03-22,TBD,38.7,NA,15,4030,48.87,-121.79,Wells Creek,SNTL:909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88.02,11.14,910,2021-03-22,2021,173,49.3,2021,49.3,24.65,2021-03-22,173,TBD,173,2021-03-22,TBD,49.3,NA,15,3040,48.69,-121.91,Elbow Lake,SNTL:910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84.4,41.18,911,2021-03-22,2021,173,48.6,2021,48.6,24.3,2021-03-22,173,TBD,173,2021-03-22,TBD,48.6,NA,15,3810,47.3,-121.6,Rex River,SNTL:911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86.43,33.24,912,2021-03-22,2021,173,60.9,2021,60.9,30.45,2021-03-22,173,TBD,173,2021-03-22,TBD,60.9,NA,15,3310,47.68,-121.61,Skookum Creek,SNTL:912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83.22,46,928,2021-03-22,2021,173,1.9,2021,4.5,2.25,2021-03-01,152,2021-03-01,171,2021-03-20,2021-03-20,1.9,NA,13,2250,47.07,-121.59,Huckleberry Creek,SNTL:928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77.24,47.48,941,2021-03-22,2021,173,0.3,2021,5.1,2.55,2021-03-01,152,2021-03-01,165,2021-03-14,2021-03-14,0.3,NA,12,3160,46.93,-121.95,Mowich,SNTL:941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78.02,45.23,942,2021-03-22,2021,173,20.7,2021,20.7,10.35,2021-03-22,173,TBD,173,2021-03-22,TBD,20.7,NA,11,4170,47.04,-121.94,Burnt Mountain,SNTL:942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66.72,23.38,943,2021-03-22,2021,173,13.6,2021,13.8,6.9,2021-03-20,171,2021-03-20,173,2021-03-22,TBD,13.6,NA,12,4010,47.87,-123.08,Dungeness,SNTL:943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62.21,20.48,974,2021-03-22,2021,173,53.2,2021,53.2,26.6,2021-03-22,173,TBD,173,2021-03-22,TBD,53.2,NA,11,5010,47.94,-123.43,Waterhole,SNTL:974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103.19,17.96,975,2021-03-22,2021,173,21.3,2021,22,11,2021-03-12,163,2021-03-12,173,2021-03-22,TBD,21.3,NA,11,3930,48.57,-120.78,Swamp Creek,SNTL:975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137.37,79.56,984,2021-03-22,2021,173,17.5,2021,18.4,9.2,2021-03-13,164,2021-03-13,173,2021-03-22,TBD,17.5,NA,10,5700,46.18,-117.54,Spruce Springs,SNTL:984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139.86,78.8,985,2021-03-22,2021,173,1.6,2021,3.7,1.85,2021-03-13,164,2021-03-13,173,2021-03-22,TBD,1.6,NA,10,4000,46.24,-117.39,Sourdough Gulch,SNTL:985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98.19,9.72,990,2021-03-22,2021,173,43.8,2021,43.8,21.9,2021-03-22,173,TBD,173,2021-03-22,TBD,43.8,NA,9,3630,48.88,-121.26,Beaver Pass,SNTL:990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95.56,9.45,998,2021-03-22,2021,173,95.4,2021,95.4,47.7,2021-03-22,173,TBD,173,2021-03-22,TBD,95.4,NA,2,5270,48.86,-121.44,Easy Pass,SNTL:998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91.36,10.51,999,2021-03-22,2021,173,68.4,2021,68.4,34.2,2021-03-22,173,TBD,173,2021-03-22,TBD,68.4,NA,4,3520,48.76,-121.7,Marten Ridge,SNTL:999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271.8,326.99,1017,2021-03-22,2021,173,8.9,2021,9,4.5,2021-03-19,170,2021-03-19,173,2021-03-22,TBD,8.9,NA,9,9306,36.03,-106.81,Vacas Locas,SNTL:1017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283.57,386,1034,2021-03-22,2021,173,0.1,2021,1.3,0.65,2021-02-17,140,2021-02-17,148,2021-02-25,2021-02-25,0.1,NA,8,10280,33.4,-105.79,Sierra Blanca,SNTL:1034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245.25,390.17,1048,2021-03-22,2021,173,0.1,2021,2.7,1.35,2021-02-21,144,2021-02-21,156,2021-03-05,2021-03-05,0.1,NA,7,9240,33.01,-107.87,Mcknight Cabin,SNTL:1048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294.2,327.19,1083,2021-03-22,2021,173,0,2021,2.6,1.3,2021-02-02,125,2021-02-02,131,2021-02-08,2021-02-08,0,NA,4,8600,36.13,-105.53,Tres Ritos,SNTL:1083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235.24,319.09,1138,2021-03-22,2021,173,NA,2021,0.4,0.2,2020-10-26,26,2020-10-26,173,2021-03-22,TBD,NA,NA,1,9050,36.18,-108.95,Navajo Whiskey Ck,SNTL:1138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296.39,317.53,1168,2021-03-22,2021,173,17,2021,17.1,8.55,2021-03-21,172,2021-03-21,173,2021-03-22,TBD,17,NA,NA,11057,36.58,-105.46,Taos Powderhorn,SNTL:1168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300.62,313.33,1169,2021-03-22,2021,173,7.1,2021,9,4.5,2021-03-19,170,2021-03-19,173,2021-03-22,TBD,7.1,NA,NA,10100,36.79,-105.24,Shuree,SNTL:1169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298.26,321.45,1170,2021-03-22,2021,173,4,2021,6.1,3.05,2021-03-17,168,2021-03-17,173,2021-03-22,TBD,4,NA,NA,9350,36.41,-105.33,Palo,SNTL:1170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283.79,310.06,1172,2021-03-22,2021,173,7.4,2021,7.9,3.95,2021-03-20,171,2021-03-20,173,2021-03-22,TBD,7.4,NA,NA,9100,36.86,-106.23,San Antonio Sink,SNTL:1172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276.25,327.93,1173,2021-03-22,2021,173,0.7,2021,5.1,2.55,2021-03-03,154,2021-03-03,165,2021-03-14,2021-03-14,0.7,NA,NA,10160,36.01,-106.55,Garita Peak,SNTL:1173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
292.33,328.32,1254,2021-03-22,2021,173,10.6,2021,10.6,5.3,2021-03-22,173,TBD,173,2021-03-22,TBD,10.6,NA,NA,10664,36.07,-105.63,Rio Santa Barbara,SNTL:1254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281.42,317.5,316,2021-03-22,2021,173,9.2,2021,9.8,4.9,2021-03-19,170,2021-03-19,173,2021-03-22,TBD,9.2,0.3,30,9300,36.51,-106.32,Bateman,SNTL:316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276.67,307.08,394,2021-03-22,2021,173,8,2021,8.3,4.15,2021-03-19,170,2021-03-19,173,2021-03-22,TBD,8,0.4666666666666667,30,8400,36.96,-106.66,Chamita,SNTL:394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,371.86,486,2021-03-22,2021,173,0,2021,1.3,0.65,2021-02-03,126,2021-02-03,134,2021-02-11,2021-02-11,0,0.7333333333333333,30,8000,33.74,-108.95,Frisco Divide,SNTL:486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
293.81,325.84,491,2021-03-22,2021,173,7.4,2021,8.4,4.2,2021-03-18,169,2021-03-18,173,2021-03-22,TBD,7.4,0.16666666666666666,30,9800,36.19,-105.56,Gallegos Peak,SNTL:491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282.95,313.05,532,2021-03-22,2021,173,13.8,2021,14,7,2021-03-20,171,2021-03-20,173,2021-03-22,TBD,13.8,0.23333333333333334,30,10000,36.72,-106.26,Hopewell,SNTL:532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246.91,382.69,595,2021-03-22,2021,173,0,2021,1.5,0.75,2021-02-21,144,2021-02-21,149,2021-02-26,2021-02-26,0,0.8333333333333334,30,8500,33.36,-107.83,Lookout Mountain,SNTL:595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300.7,308.95,665,2021-03-22,2021,173,6.7,2021,7.2,3.6,2021-03-18,169,2021-03-18,173,2021-03-22,TBD,6.7,0.6,30,10600,36.99,-105.26,North Costilla,SNTL:665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278.81,330.19,708,2021-03-22,2021,173,NA,2021,4.3,2.15,2021-03-03,154,2021-03-03,163,2021-03-12,2021-03-12,NA,NA,30,9500,35.92,-106.39,Quemazon,SNTL:708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298.71,315.12,715,2021-03-22,2021,173,7.1,2021,7.8,3.9,2021-03-19,170,2021-03-19,173,2021-03-22,TBD,7.1,0.36666666666666664,30,9850,36.7,-105.34,Red River Pass #2,SNTL:715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271.38,327.6,744,2021-03-22,2021,173,6,2021,6.2,3.1,2021-03-20,171,2021-03-20,173,2021-03-22,TBD,6,0.23333333333333334,30,8600,36,-106.83,Senorita Divide #2,SNTL:744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.96,391.47,755,2021-03-22,2021,173,0.1,2021,1.7,0.85,2021-02-02,125,2021-02-02,127,2021-02-04,2021-02-04,0.1,0.6333333333333333,30,8360,32.92,-108.15,Signal Peak,SNTL:755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231.2,380.43,757,2021-03-22,2021,173,3.5,2021,7.7,3.85,2021-02-20,143,2021-02-20,173,2021-03-22,TBD,3.5,0.13333333333333333,30,9000,33.37,-108.71,Silver Creek Divide,SNTL:757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
293.26,334.79,854,2021-03-22,2021,173,6.9,2021,7.1,3.55,2021-03-19,170,2021-03-19,173,2021-03-22,TBD,6.9,0.09523809523809523,21,11120,35.78,-105.54,Wesner Springs,SNTL:854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288.38,336.04,921,2021-03-22,2021,173,0.3,2021,1.7,0.85,2021-02-02,125,2021-02-02,128,2021-02-05,2021-02-05,0.3,NA,14,8210,35.7,-105.81,Elk Cabin,SNTL:921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
289.06,334.58,922,2021-03-22,2021,173,7.4,2021,7.7,3.85,2021-03-18,169,2021-03-18,173,2021-03-22,TBD,7.4,NA,14,11445,35.77,-105.78,Santa Fe,SNTL:922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244.29,341.23,933,2021-03-22,2021,173,0.9,2021,3.7,1.85,2021-03-06,157,2021-03-06,172,2021-03-21,2021-03-21,0.9,NA,12,8460,35.23,-108.27,Rice Park,SNTL:933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300.8,320.38,934,2021-03-22,2021,173,7.8,2021,8.6,4.3,2021-03-18,169,2021-03-18,173,2021-03-22,TBD,7.8,NA,12,10180,36.47,-105.19,Tolby,SNTL:934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
335.68,155.97,354,2021-03-22,2021,173,4.6,2021,4.9,2.45,2021-03-19,170,2021-03-19,173,2021-03-22,TBD,4.6,0.1,20,6890,44.11,-103.98,Blind Park,SNTL:354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338.8,154.05,920,2021-03-22,2021,173,5.5,2021,5.7,2.85,2021-03-19,170,2021-03-19,173,2021-03-22,TBD,5.5,NA,14,6130,44.21,-103.79,North Rapid Creek,SNTL:920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61.09,229.21,1049,2021-03-22,2021,173,23.8,2021,23.8,11.9,2021-03-22,173,TBD,173,2021-03-22,TBD,23.8,NA,7,8017,38.68,-119.96,Forestdale Creek,SNTL:1049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63.1,226.12,1050,2021-03-22,2021,173,14.5,2021,14.5,7.25,2021-03-22,173,TBD,173,2021-03-22,TBD,14.5,NA,7,8557,38.84,-119.89,Horse Meadow,SNTL:1050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62.45,228.66,1051,2021-03-22,2021,173,17.1,2021,17.1,8.55,2021-03-22,173,TBD,173,2021-03-22,TBD,17.1,NA,7,8129,38.72,-119.89,Burnside Lake,SNTL:1051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
