x,y,site_id,date,water_year,water_day,swe,year,peak_swe,sm50_swe,peak_date,peak_day,peak_met,sm50_day,sm50_date,sm50_met,apr1_swe,ptile_swe,wy_n,elev_ft,latitude,longitude,site_name,sntl_id,d_peak,d_sm50,d_apr1,d_swe,apr1_x,apr1_y,peak_x,peak_y,sm50_x,sm50_y
87.08,40.35,672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4030,47.37,-121.44,Olallie Meadows,SNTL:672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88.49,8.38,1011,2021-03-22,2021,173,64.7,2021,64.7,32.35,2021-03-22,173,TBD,173,2021-03-22,TBD,64.7,NA,8,4970,48.82,-121.93,MF Nooksack,SNTL:1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69.4,62.57,1012,2021-03-22,2021,173,77.9,2021,77.9,38.95,2021-03-22,173,TBD,173,2021-03-22,TBD,77.9,NA,8,4440,46.16,-122.18,Swift Creek,SNTL:1012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138.22,20.42,1043,2021-03-22,2021,173,9.4,2021,10,5,2021-03-11,162,2021-03-11,173,2021-03-22,TBD,9.4,NA,7,4680,48.86,-118.4,Sentinel Butte,SNTL:1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86.17,44.8,1068,2021-03-22,2021,173,42.5,2021,42.5,21.25,2021-03-22,173,TBD,173,2021-03-22,TBD,42.5,NA,4,4640,47.16,-121.42,Sawmill Ridge,SNTL:1068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81.24,42.55,1069,2021-03-22,2021,173,33.3,2021,33.3,16.65,2021-03-22,173,TBD,173,2021-03-22,TBD,33.3,NA,3,3900,47.2,-121.78,Lynn Lake,SNTL:1069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99.31,8.91,1080,2021-03-22,2021,173,60.3,2021,60.3,30.15,2021-03-22,173,TBD,173,2021-03-22,TBD,60.3,NA,1,5830,48.93,-121.2,Brown Top,SNTL:1080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82.93,50.41,1085,2021-03-22,2021,173,64.4,2021,64.4,32.2,2021-03-22,173,TBD,173,2021-03-22,TBD,64.4,NA,4,5240,46.87,-121.53,Cayuse Pass,SNTL:1085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60.38,25.1,1107,2021-03-22,2021,173,66,2021,66,33,2021-03-22,173,TBD,173,2021-03-22,TBD,66,NA,2,4870,47.71,-123.46,Buckinghorse,SNTL:1107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67.29,67.83,1109,2021-03-22,2021,173,4.4,2021,5,2.5,2021-03-16,167,2021-03-16,173,2021-03-22,TBD,4.4,NA,2,2500,45.9,-122.22,Calamity,SNTL:1109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59.55,30.48,1126,2021-03-22,2021,173,33.9,2021,33.9,16.95,2021-03-22,173,TBD,173,2021-03-22,TBD,33.9,NA,NA,3384,47.46,-123.41,Mt. Tebo,SNTL:1126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88.4,71.61,1129,2021-03-22,2021,173,11.8,2021,13.8,6.9,2021-03-12,163,2021-03-12,173,2021-03-22,TBD,11.8,NA,2,5360,45.99,-120.81,Indian Rock,SNTL:1129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130.38,16.52,1159,2021-03-22,2021,173,12.9,2021,12.9,6.45,2021-03-22,173,TBD,173,2021-03-22,TBD,12.9,NA,NA,5360,48.95,-118.99,Gold Axe Camp,SNTL:1159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99.43,28.08,1171,2021-03-22,2021,173,36,2021,37.2,18.6,2021-03-10,161,2021-03-10,173,2021-03-22,TBD,36,NA,NA,2930,48.07,-120.85,Trinity,SNTL:1171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90.3,72.12,1231,2021-03-22,2021,173,7.7,2021,8,4,2021-03-20,171,2021-03-20,173,2021-03-22,TBD,7.7,NA,NA,3960,45.99,-120.68,Satus Pass,SNTL:1231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,34.2,1256,2021-03-22,2021,173,10.9,2021,12.2,6.1,2021-03-13,164,2021-03-13,173,2021-03-22,TBD,10.9,NA,NA,4390,48.19,-118.46,Gold Mountain,SNTL:1256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77.28,54,1257,2021-03-22,2021,173,49.1,2021,49.1,24.55,2021-03-22,173,TBD,173,2021-03-22,TBD,49.1,NA,NA,3770,46.64,-121.83,Skate Creek,SNTL:1257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116.11,20.89,1259,2021-03-22,2021,173,9.4,2021,10.8,5.4,2021-02-26,149,2021-02-26,173,2021-03-22,TBD,9.4,NA,NA,4470,48.59,-119.87,Muckamuck,SNTL:1259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73.83,60.22,1263,2021-03-22,2021,173,42,2021,42,21,2021-03-22,173,TBD,173,2021-03-22,TBD,42,NA,NA,4440,46.32,-121.94,Pinto Rock,SNTL:1263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85.47,52.45,375,2021-03-22,2021,173,31.1,2021,31.1,15.55,2021-03-22,173,TBD,173,2021-03-22,TBD,31.1,0.8214285714285714,28,4610,46.81,-121.33,Bumping Ridge,SNTL:375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154.63,27.99,376,2021-03-22,2021,173,22,2021,22,11,2021-03-22,173,TBD,173,2021-03-22,TBD,22,0.21428571428571427,28,5000,48.69,-117.18,Bunchgrass Mdw,SNTL:376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84.8,47.56,418,2021-03-22,2021,173,39.9,2021,39.9,19.95,2021-03-22,173,TBD,173,2021-03-22,TBD,39.9,0.8620689655172413,29,5800,47.02,-121.46,Corral Pass,SNTL:418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83.28,41.32,420,2021-03-22,2021,173,18.4,2021,18.4,9.2,2021-03-22,173,TBD,173,2021-03-22,TBD,18.4,0.6206896551724138,29,3200,47.28,-121.67,Cougar Mountain,SNTL:420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93.05,38.18,478,2021-03-22,2021,173,39.3,2021,39.3,19.65,2021-03-22,173,TBD,173,2021-03-22,TBD,39.3,NA,NA,3430,47.54,-121.09,Fish Lake,SNTL:478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86.31,58.5,502,2021-03-22,2021,173,25.3,2021,25.3,12.65,2021-03-22,173,TBD,173,2021-03-22,TBD,25.3,0.75,28,5920,46.55,-121.17,Green Lake,SNTL:502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100.19,45.89,507,2021-03-22,2021,173,20.2,2021,20.3,10.15,2021-03-14,165,2021-03-14,173,2021-03-22,TBD,20.2,0.6071428571428571,28,5390,47.28,-120.49,Grouse Camp,SNTL:507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
