"x","y","site_id","water_year","diff_peak","diff_sm50","perd_peak","perd_sm50","perpast_peak","perpast_sm50","anom_peak","anom_sm50"
326.05,68.98,987,2020,0.460000000000001,-0.400000000000006,4.20475319926875,-0.197628458498027,104.204753199269,99.802371541502,0.0973948888806193,-0.0117917113093196
331.83,NA,958,2020,2.08,2.80000000000001,28.808864265928,1.26582278481013,128.808864265928,101.26582278481,0.775433541378988,0.335838836028782
343.81,54.66,964,2020,-8.15,-11.5,-46.7048710601719,-5.21541950113379,53.2951289398281,94.7845804988662,-1.32271386708795,-1.12496677250239
342.08,49.47,955,2020,-4.43,-11.8,-36.2224039247752,-5.36851683348499,63.7775960752248,94.631483166515,-1.77498448300657,-1.63357552469706
337.1,27.52,967,2020,6.61,-0.900000000000006,80.7081807081807,-0.42075736325386,180.708180708181,99.5792426367461,2.87092969501421,-0.129173296172381
365.27,NA,963,2020,3.74,6.09999999999999,92.1182266009852,2.96260320543953,192.118226600985,102.96260320544,3.80743895978906,1.59948903223733
330.29,63.08,1003,2020,-3.55,-10.5,-26.9961977186312,-4.84988452655889,73.0038022813688,95.1501154734411,-0.924916253398344,-0.916030594871131
365.95,NA,952,2020,4.57777777777778,-9.44444444444446,65.1898734177215,-3.97753860552176,165.189873417722,96.0224613944782,2.1497732962568,-0.193246335896354
345.46,49.38,956,2020,-25.04,-26.3,-63.6502287747839,-10.5920257752719,36.3497712252161,89.4079742247282,-1.97016522673424,-2.14097269533584
335.19,48.26,966,2020,1.93,4.40000000000001,39.6303901437372,2.19341974077767,139.630390143737,102.193419740778,1.12092746993899,0.179956131744558
341.15,52.92,959,2020,-6.98,-15,-41.8465227817746,-6.75675675675676,58.1534772182254,93.2432432432432,-1.15079962136175,-1.52739952492979
344.41,46.94,954,2020,-30.03,-22.9,-60.3860848582345,-9.09090909090909,39.6139151417655,90.9090909090909,-1.76549308383907,-1.78402445984235
329.7,61.33,1062,2020,-2.48333333333333,-14.5,-18.8369152970923,-6.48769574944072,81.1630847029077,93.5123042505593,-0.877460947365156,-1.35154447160703
324.31,NA,1182,2020,2.61,3.69999999999999,36.3004172461753,1.66441745389113,136.300417246175,101.664417453891,0.9424232050102,0.401033126066393
354.87,NA,947,2020,2.73,-1.30000000000001,56.0574948665298,-0.618164526866387,156.05749486653,99.3818354731336,1.54553063172005,-0.103201330756155
358.2,NA,948,2020,6.02,6.69999999999999,104.152249134948,3.06917086578103,204.152249134948,103.069170865781,3.30412539275661,0.793221948148859
362.61,NA,951,2020,3.02,3.80000000000001,68.9497716894977,1.79924242424243,168.949771689498,101.799242424242,2.32109392918326,0.520553372074036
360.22,NA,949,2020,4.11,9.80000000000001,77.6937618147448,4.64015151515152,177.693761814745,104.640151515152,2.47149281786626,1.13956912403835
358.52,NA,950,2020,7.25,5.69999999999999,93.5483870967742,2.47503256621797,193.548387096774,102.475032566218,3.95749013778896,1.11762318742253
341.99,42.84,946,2020,-0.25,-4.69999999999999,-1.00200400801603,-1.97728228859907,98.997995991984,98.0227177114009,-0.0336385446214877,-0.537518398004734
344.86,44.25,1103,2020,-18.67,-14.6,-50.5004057343792,-6.19694397283531,49.4995942656208,93.8030560271647,-1.87743731618204,-1.35402051669575
463.26,62.84,1001,2020,5.18,-1.30000000000001,12.0409112040911,-0.540990428630883,112.040911204091,99.4590095713691,0.368856311135176,-0.116842951773867
