"x","y","site_id","water_year","diff_peak","diff_sm50","perd_peak","perd_sm50","perpast_peak","perpast_sm50","anom_peak","anom_sm50"
98.19,9.72,990,2021,3.53333333333333,NA,9.35569285083848,NA,109.355692850838,NA,0.345081044902465,NA
139.86,78.8,985,2021,0.48,NA,14.9068322981366,NA,114.906832298137,NA,0.121349080605123,NA
137.37,79.56,984,2021,0.550000000000001,NA,3.20699708454811,NA,103.206997084548,NA,0.0655834254181047,NA
103.19,17.96,975,2021,4.86,NA,29.7429620563035,NA,129.742962056304,NA,0.778728832840999,NA
78.02,45.23,942,2021,-4.48,NA,-19.7530864197531,NA,80.2469135802469,NA,-0.298748114292197,NA
66.72,23.38,943,2021,0.889999999999999,NA,10.1021566401816,NA,110.102156640182,NA,0.228540111762287,NA
62.21,20.48,974,2021,2.95,NA,7.59330759330758,NA,107.593307593308,NA,0.206447723732609,NA
83.22,46,928,2021,-0.17,NA,-3.64025695931477,NA,96.3597430406852,NA,-0.0387297217848367,NA
77.24,47.48,941,2021,1,NA,24.390243902439,NA,124.390243902439,NA,0.315352998736582,NA
88.02,11.14,910,2021,7.66,NA,20.2431289640592,NA,120.243128964059,NA,0.449937929968642,NA
84.4,41.18,911,2021,4.03,NA,10.0573995507861,NA,110.057399550786,NA,0.169212245228719,NA
86.43,33.24,912,2021,16.18,NA,43.9435089625204,NA,143.94350896252,NA,0.616523454270283,NA
90.73,7.89,909,2021,1.77999999999999,NA,5.39067231980616,NA,105.390672319806,NA,0.192480742240998,NA
85.73,30.81,908,2021,-4.72,NA,-8.41054882394868,NA,91.5894511760513,NA,-0.198295290849124,NA
86.14,42.11,897,2021,5.54,NA,17.334167709637,NA,117.334167709637,NA,0.307172456522759,NA
85.17,40.05,898,2021,-5.66,NA,-29.8523206751055,NA,70.1476793248945,NA,-0.448650292574828,NA
86.43,41.07,899,2021,4.46,NA,15.2530779753762,NA,115.253077975376,NA,0.299891169064719,NA
126.07,28.5,644,2021,1.22,NA,8.42541436464088,NA,108.425414364641,NA,0.198726472803837,NA
86.54,62.82,599,2021,-0.190000000000001,NA,-1.05030403537867,NA,98.9496959646213,NA,-0.0333893890583412,NA
66.76,25.86,648,2021,-6.1,NA,-19.9346405228758,NA,80.0653594771242,NA,-0.679963892153258,NA
100.01,18,817,2021,2.5,NA,8.62068965517241,NA,108.620689655172,NA,0.330143498344739,NA
152.07,45.26,707,2021,-0.120000000000001,NA,-0.568181818181823,NA,99.4318181818182,NA,-0.0137956756567857,NA
92.58,41.62,734,2021,4.31,NA,12.9858391081651,NA,112.985839108165,NA,0.385599416739903,NA
69.99,60.49,777,2021,3.22,NA,26.8781302170284,NA,126.878130217028,NA,0.363750611095856,NA
86.31,58.5,502,2021,-1.06,NA,-4.31596091205211,NA,95.6840390879479,NA,-0.143022281355217,NA
69.78,62.9,553,2021,-6.13,NA,-12.6836333540244,NA,87.3163666459756,NA,-0.239953202804443,NA
80.24,61.33,702,2021,3.41,NA,11.6820829051045,NA,111.682082905104,NA,0.302894932076976,NA
68.56,61.66,748,2021,0.240000000000002,NA,0.605143721633893,NA,100.605143721634,NA,0.0119945304084946,NA
73.15,63.18,776,2021,-9.72,NA,-26.9850083287063,NA,73.0149916712937,NA,-0.534177398398888,NA
97.85,43.71,352,2021,1.02,NA,7.19322990126939,NA,107.193229901269,NA,0.187151237718838,NA
154.63,27.99,376,2021,-7.15,NA,-24.956369982548,NA,75.043630017452,NA,-1.14788797630008,NA
84.8,47.56,418,2021,1.74,NA,4.90693739424704,NA,104.906937394247,NA,0.188840119426276,NA
83.28,41.32,420,2021,-4.3,NA,-20.9756097560976,NA,79.0243902439024,NA,-0.312088046567143,NA
93.05,38.18,478,2021,9.87,NA,35.4653251886454,NA,135.465325188645,NA,1.07606511835561,NA
100.19,45.89,507,2021,-0.809999999999999,NA,-4.0683073832245,NA,95.9316926167755,NA,-0.142451815181517,NA
105.7,15.29,515,2021,8.19,NA,20.5727204220045,NA,120.572720422005,NA,0.754565812668426,NA
87.08,40.35,672,2021,-13.02,NA,-23.0769230769231,NA,76.9230769230769,NA,-0.6426536442243,NA
79.25,51.4,679,2021,3.75999999999999,NA,4.99070878683301,NA,104.990708786833,NA,0.182194361030317,NA
83.52,56.17,692,2021,-9.48,NA,-16.3787145818936,NA,83.6212854181064,NA,-0.557225603447801,NA
102.95,30.8,699,2021,4.19,NA,25.8482418260333,NA,125.848241826033,NA,0.885630816212758,NA
