"x","y","site_id","water_year","diff_peak","diff_sm50","perd_peak","perd_sm50","perpast_peak","perpast_sm50","anom_peak","anom_sm50"
379.54,220.96,987,2020,1.965,8.55000000000001,20.8267090620032,4.41974670457483,120.826709062003,104.419746704575,0.363225541349297,0.226044852678944
386.81,74.32,958,2020,2.055,1.75,28.3643892339545,0.78740157480315,128.364389233954,100.787401574803,0.899043508276155,0.250979138057707
301.47,59.01,1175,2020,0.844444444444444,-6.66666666666666,13.4991119005329,-2.87769784172661,113.499111900533,97.1223021582734,0.306558795631534,-0.235261557746861
401.91,202.92,964,2020,-7.055,-10.6,-43.1366554570468,-4.82695810564663,56.8633445429532,95.1730418943534,-1.07092778216661,-1.06033489548516
399.73,196.38,955,2020,-3.24,-10.4,-29.3478260869565,-4.76190476190476,70.6521739130435,95.2380952380952,-0.929842320811994,-1.29744178171244
393.46,168.72,967,2020,6.375,1.59999999999999,75.6676557863501,0.756859035004728,175.66765578635,100.756859035005,2.49989883048031,0.196726876749583
428.94,131.7,963,2020,3.745,6.75,92.3551171393342,3.28867235079172,192.355117139334,103.288672350792,2.72410562799088,0.706622295496789
384.88,213.52,1003,2020,-1.9,-5.80000000000001,-16.5217391304348,-2.73843248347498,83.4782608695652,97.261567516525,-0.424685309860436,-0.486977947672931
411.91,145.36,1094,2020,2.4,3,27.5862068965517,1.32743362831858,127.586206896552,101.327433628319,0.707106781186548,0.707106781186548
429.8,109.94,952,2020,4.13846153846154,-4.30769230769232,55.4639175257732,-1.85430463576159,155.463917525773,98.1456953642384,1.92381232009704,-0.104042320920633
403.98,196.26,956,2020,-17.105,-19.65,-54.4658493870403,-8.13159528243327,45.5341506129597,91.8684047175667,-1.1926321597156,-1.38536039504312
391.05,194.86,966,2020,2.015,4.94999999999999,42.110762800418,2.47438140464883,142.110762800418,102.474381404649,1.16453101900329,0.250467999282794
398.56,200.73,959,2020,-5.36,-12.8,-35.5909694555113,-5.82347588717016,64.4090305444887,94.1765241128298,-0.876781988438358,-1.20462778481324
402.67,193.2,954,2020,-20.42,-23.65,-50.8973080757727,-9.36077577676628,49.1026919242273,90.6392242232337,-1.15139191135712,-0.858573093723003
384.14,211.33,1062,2020,-2.10625,-11.625,-16.4470473401659,-5.26912181303116,83.5529526598341,94.7308781869688,-0.66862412109491,-1.2218803632799
377.34,80.85,1182,2020,2.53,2,34.8005502063274,0.892857142857143,134.800550206327,100.892857142857,0.984400891313538,0.266510857908599
415.84,111.29,947,2020,2.125,8.55000000000001,38.8127853881279,4.2654028436019,138.812785388128,104.265402843602,1.26356330698202,0.185498629698161
420.05,108.39,948,2020,5.175,4.69999999999999,78.1132075471698,2.13345438039037,178.11320754717,102.13345438039,2.40465063343568,0.568596073128216
425.6,113.29,951,2020,2.6,4.69999999999999,54.1666666666667,2.23490252020922,154.166666666667,102.234902520209,1.93116142171014,0.576191391412651
422.58,111.25,949,2020,3.47,9.55000000000001,58.5160202360877,4.51643414518799,158.516020236088,104.516434145188,1.9461692924147,1.02887464519415
420.45,115.79,950,2020,5.82,5.30000000000001,63.3986928104575,2.2973558734287,163.398692810458,102.297355873429,2.03352883909384,0.891052752331907
399.61,188.02,946,2020,1.35,-4.25,5.7815845824411,-1.7913593256059,105.781584582441,98.2086406743941,0.18862267538769,-0.456373134141766
403.23,189.81,1103,2020,-11.09,-15.4,-37.7339231030963,-6.51438240270728,62.2660768969037,93.4856175972927,-0.891506448796547,-0.772402247858302
552.4,213.23,1001,2020,9.145,3.15000000000001,23.4156958135962,1.33559465762137,123.415695813596,101.335594657621,0.659348567571006,0.242249230612722
