"x","y","site_id"
154.92,179.52,1272
103.21,221.73,2170
148.96,178.97,321
151.37,235.43,334
144.86,179.67,336
110.45,227.42,337
65.62,212.99,340
115.87,173.51,373
140.62,211.82,417
132.53,226.21,443
106.62,166.41,445
148.62,199.86,453
150.25,183.03,454
138.68,177.02,476
114.84,175.06,498
141.23,209.72,503
150.59,199.15,527
138.86,183.09,548
138.68,183.94,549
113.16,178.04,569
144.79,204.65,570
139.59,178.11,573
64.68,219.3,615
65.71,215.95,652
152.28,178.76,698
148.24,180.83,746
86.75,163.12,750
137.08,189.86,811
144.98,238.39,849
238.96,83.18,1008
238.29,82.64,1009
245.81,115.11,1105
239.59,92.69,1106
191.92,51.46,1144
190.55,108.63,1286
197.27,122.91,1287
211.7,51.89,307
178.66,35.84,311
202.26,94.71,313
210.21,102.74,315
198.2,129.92,318
224.61,123.88,328
195.75,58.78,346
199.02,87.3,349
193.06,113.52,355
231.26,89.61,360
242.51,119.66,363
234.17,104.76,365
198.42,98.85,381
225.7,123.84,385
217.42,121.15,403
255.89,123.37,407
199.85,86.13,410
213.75,75.68,413
211.92,74.92,414
258.37,88.72,427
191.88,91.02,433
191.86,113.3,436
241.07,86.13,437
213.4,125.53,448
215.18,54.05,458
199.65,43.09,469
246.53,124.87,480
202.28,35.51,482
217.49,89.94,487
189.79,30.67,500
186.26,43.1,510
173.33,25.95,516
177.84,70.63,530
197.94,64.68,562
216.33,130.44,568
232.4,113.04,578
224.67,116.85,590
218.14,110.48,603
202.49,77.6,604
227.01,132.19,609
204.99,36.02,613
242.49,120.75,635
213.79,56.86,649
202.13,109.89,656
203.04,77.92,657
180.66,98.78,662
198.42,48.77,664
197.59,68.12,667
245.31,125.78,670
231.62,89.23,690
207.89,47.48,693
245.41,116.8,696
241.94,101.15,700
216.16,91.47,722
242.47,101.67,725
215.76,121.75,753
232.21,115.21,754
193.31,89.97,760
241.92,86.48,781
188.91,68.43,783
188.52,30.41,787
218.72,126.43,813
182.82,90.15,835
181.93,89.97,836
214.22,56.94,847
202.47,91.01,850
226.62,131.69,858
246.96,125.15,862
212.15,66.85,876
222.21,92.72,893
194.02,73.38,901
214.25,80.6,903
217.86,108.46,916
260.56,58.98,917
175.21,26.13,918
245.85,89.49,919
227.71,130.76,924
234.26,105.22,929
199.7,93.58,930
174.3,44.59,932
254.38,122.06,981
197.95,354.89,519
183.99,331.4,1121
186.92,338.53,1125
224.75,367.89,1127
178.4,330.68,1139
187.39,349.88,1140
233.8,315.58,1143
184.79,340.61,1212
214.15,364.84,1271
186.87,349.8,308
218.97,365.31,310
224.63,370.07,416
181.53,335.42,488
221.33,372.91,511
219.49,366.71,617
186.64,339.14,640
193.58,352.87,705
176.4,332.99,861
218.64,370.11,866
193.26,365.19,877
223.05,372.28,902
185.81,330.15,927
187.89,343.55,969
300.15,295.27,1005
293.99,246.49,1014
290.03,233.97,1030
296.52,233.56,1031
296.42,226.74,1032
287.02,223.96,1033
285.11,249.92,1040
285.61,249.98,1041
301.96,238.52,1042
307.89,268.11,1057
279.96,296.22,1058
280.62,281.11,1059
253.39,292.38,1060
278.52,239.05,1061
285.78,269.8,1100
282.8,257.15,1101
293.54,279.65,1102
287.72,244.49,1120
302.31,230.21,1122
280.83,285.32,1124
284.8,278.72,1128
280.14,262.79,1141
266.84,293.61,1160
302.51,223.42,1161
253.02,285.94,1185
296.79,245.24,1186
299.14,241.75,1187
267.1,285.71,1188
301.99,239.84,1251
278.93,222.81,1252
304.66,301.86,303
301.38,236.05,322
264.12,289.09,327
298.11,246.92,335
272.01,244.88,345
283.88,261.01,369
268.38,241.8,378
276.56,264.58,380
258.88,289.77,386
259.08,289.57,387
286.05,232.65,408
251.43,271.84,409
302.47,238.35,412
290.96,252.98,415
277.98,236.57,426
302.19,304.26,430
280.41,306.17,431
300.54,224.97,438
283.46,229.28,457
255.72,286.29,465
281.17,221.97,467
290.21,255.32,485
296.29,250.03,505
292.48,256.01,531
261.84,283.97,538
282.69,261.1,542
284.2,256.64,547
297.96,230.86,551
283.28,255.88,556
301.55,244.19,564
298.83,233.59,565
279.57,298.16,580
257.43,286.28,586
252.96,283.73,589
295.84,249.54,602
284.14,239.25,607
271.52,258.7,618
258.56,258.64,622
272.01,292.02,624
260.78,285.6,629
261.18,287.85,632
283.23,256.32,658
302.59,242.1,663
273.89,260.08,669
265.78,258.89,675
282.39,266.79,680
261.68,259.26,682
298.32,233.75,688
285.78,274.42,701
283.71,232.82,709
261.22,284.77,713
274.06,237.42,717
296.16,222.98,718
275.23,261.56,737
255.5,289.34,739
270.09,283.64,762
298.05,287.15,773
259.53,288.75,780
296.79,237.33,793
261.48,293.84,797
291.67,248,802
285.11,229.24,825
274.6,239.91,827
301.98,301.16,829
301.91,242.25,838
268.38,289.39,839
274.91,295.21,840
287.8,249.78,842
263.54,293.87,843
303.56,304.39,857
282.52,218.83,859
294.28,234.43,869
300.34,233.3,870
275.57,295.51,874
254.75,293.88,904
252.18,293.77,905
285.66,236.12,913
299.48,289.93,914
297.26,251.89,935
300.93,250.29,936
295.15,254.53,937
291.52,257.22,938
291.39,263.15,939
284.66,223.03,940
295.88,247.57,970
210.51,191.32,1013
204.16,223.71,1039
203.33,207.84,1054
209.94,200.74,1056
155.02,276.7,1065
162.68,280.37,1066
221.34,239.73,1097
211.39,189.92,1098
186.89,269.81,1099
210.55,189.11,1113
212.24,188.73,1114
210.36,187.31,1115
225.52,221.13,1116
231.96,215.69,1117
211.52,204.1,1118
218.88,210.59,1135
210.83,203.32,1145
189.01,241.77,1146
177.46,276.38,1148
195.13,261.67,1149
181.53,183.36,1151
231.84,281.3,1153
173.86,276.18,1154
191.15,261,1156
223.16,211.7,1162
223.54,213.53,1163
214.1,220.9,1164
197.51,255.64,1184
221.47,214.09,1192
175.64,274.95,1197
194.45,218.08,1214
236.39,268.47,1215
206.72,238.75,1216
199.4,240.21,1217
202.7,244.75,1221
203.29,245.29,1222
207.9,226.32,1223
201.73,248.58,1224
211.89,216.11,1225
201.92,246.39,1226
207,243.23,1227
204.17,249.2,1228
222.1,240.29,1236
163.56,228.45,1247
172.38,277.7,1248
200.71,272.57,1249
210.32,273.66,1261
209.68,275.55,1269
190.48,250.9,1278
201.08,231.18,1280
200.91,248.44,329
213.58,217.94,330
202.82,199.11,332
203.14,199.17,333
184.58,264.31,339
198.61,258.26,348
191.02,260.75,364
205.79,216.89,366
221.73,219.88,368
202.85,248.98,371
212.22,193.81,374
230.98,282.5,383
175.8,276.98,390
215.22,212.89,392
215.03,211.97,393
231.73,217.2,396
208.08,233.44,399
208.64,233.09,400
212.88,223.36,432
209.91,224.21,435
202.07,250.63,444
199.1,268.76,452
209.32,199.53,455
234.96,249.93,461
203.41,208.3,474
197.6,256.09,475
224.14,217.16,481
197.71,255.45,495
221.78,216.35,513
177.84,281.11,514
217.79,214.4,517
224.74,212.17,521
232.99,214.29,522
229.31,213.52,528
210.4,201.93,533
216.81,234.38,543
184.76,260.34,557
239.18,219.39,559
170.09,278.84,561
224.39,219.85,566
236.73,268.52,572
219.28,213.31,579
204.69,198.76,582
156.49,277.2,583
164.13,278.19,592
179.02,281.32,593
204.55,211.37,596
206.76,237.43,612
183.25,264.07,621
173.78,278.61,626
205.04,215.44,628
188.75,216.41,631
210.17,198.35,634
233.16,220.95,643
205.55,213.31,684
202.58,231.21,686
200.12,251.19,691
188.57,252.12,694
206.78,242.53,714
220.01,220.28,720
194.86,218.59,723
203.65,245.12,742
214.37,214.08,763
204.39,217.32,766
224.28,212.98,790
210.24,227.36,795
206.67,216.59,814
204.54,220.45,820
209.63,188.74,823
216.25,216.81,828
237.14,218.66,833
189.91,228.83,844
172.81,278.22,853
205.66,214.65,856
213.13,232.25,864
190.91,275.6,865
204.5,210.69,896
196.15,215.93,906
183.17,281.38,907
203.27,209.16,971
203.71,211.45,972
192.22,272.93,983
218.9,212.59,992
277.89,209.49,1015
307.78,216.48,1045
294.08,214.84,1046
282.21,217.25,1047
227.15,150.06,1082
285.9,217.9,1119
250.8,156.03,1130
287.21,141.67,1131
289.34,146.08,1132
247.39,176.67,1133
252.04,180.19,1134
292.48,211.59,1196
277.77,134.83,309
235.1,147.77,314
276.82,217.06,317
287.41,155.93,325
251.78,128.27,326
249.57,178.3,342
246.67,139.82,350
229.36,168.48,353
281.43,137.91,358
294.36,212.24,367
282.49,135.63,377
246.39,154.73,379
236.76,130.86,384
296.16,182.35,389
288.7,144.91,402
248.51,164.28,405
225.19,174.67,419
279.4,211.87,449
285.44,140.8,451
236.33,165.8,460
242.83,169.41,468
247.67,134.04,472
233.43,160.73,497
229.88,142.77,499
283.54,164.68,501
238.27,160.36,506
225.55,185.77,509
289.58,148.08,512
252.91,173.92,525
226.05,182.54,544
224.06,182.89,554
239.53,163.63,555
252.31,152.06,560
302.77,189.42,571
232.61,141.44,577
244.53,158.86,585
237.4,165.08,597
254.87,142.75,616
284.88,161.33,625
240.17,166.81,661
291.88,212.63,668
281.92,215.46,673
256.51,157.04,676
245.94,132.03,683
226.58,155.7,689
287.01,149.97,703
299.42,186.21,716
223.14,177.44,730
293.79,209.98,731
278.59,215.95,732
283.26,142.07,751
232.34,143.16,764
229.05,178.81,765
289.94,212.41,772
255.95,180.95,775
227.14,177.63,779
252.13,170.29,786
284.3,137.38,798
241.32,136.83,806
243.16,137.11,807
234.53,138.22,816
284.38,135.42,818
254.99,148.7,819
240.51,152.77,822
255.39,178.01,826
229.01,172.84,831
239.33,143.79,837
282.59,215.32,852
225.29,170.94,868
306.86,193.35,872
249.98,131.08,875
244.79,149.44,878
255.06,180.38,923
287,140.77,931
242.12,161.15,944
329.74,147.16,982
