"x","y","site_id","water_year","diff_peak","diff_sm50","perd_peak","perd_sm50","perpast_peak","perpast_sm50","anom_peak","anom_sm50","mean","median","n","sd","ptile","date","water_day","swe","year","diff","perc_ch","perc","anomaly","today_diff","today_perc_ch","today_perc","today_anomaly","d_peak","d_sm50"
98.19,9.72,990,2021,1.3,NA,3.24999999999999,NA,103.25,NA,0.11034839043881,NA,30.2777777777778,28.6,9,11.5322133367556,0.888888888888889,"2021-03-04",155,41.8,2021,11.5222222222222,38.0550458715596,138.05504587156,0.999133634260687,NA,NA,NA,NA,"M0 67.222222 L5.555556 185.555556 L11.111111 160.555556 L16.666667 231.111111 L22.222222 92.222222 L27.777778 70 L33.333333 86.666667 L38.888889 158.333333 L44.444444 135 L50 31.666667 L55.555556 0 L61.111111 92.777778 L66.666667 120 L72.222222 260 L77.777778 86.666667 L83.333333 87.777778 L88.888889 95.555556 L94.444444 188.333333 L100 120 L0 67.222222","M0 33.611111 L5.555556 92.777778 L11.111111 80.277778 L16.666667 115.555556 L22.222222 46.111111 L27.777778 35 L33.333333 43.333333 L38.888889 79.166667 L44.444444 67.5 L50 15.833333 L55.555556 0 L61.111111 46.388889 L66.666667 60 L72.222222 130 L77.777778 43.333333 L83.333333 43.888889 L88.888889 47.777778 L94.444444 94.166667 L100 60 L0 33.611111 Z"
139.86,78.8,985,2021,0.625,NA,20.3252032520325,NA,120.325203252033,NA,0.204565333673836,NA,1.66,0.1,10,3.91782252448134,0.9,"2021-03-04",155,3.7,2021,2.04,122.89156626506,222.89156626506,0.520697399448962,NA,NA,NA,NA,"M0 65.789474 L5.263158 60.526316 L10.526316 55.263158 L15.789474 62.105263 L21.052632 66.315789 L26.315789 64.210526 L31.578947 59.473684 L36.842105 0 L42.105263 36.315789 L47.368421 65.789474 L52.631579 41.052632 L57.894737 59.473684 L63.157895 57.368421 L68.421053 62.631579 L73.684211 65.263158 L78.947368 60 L84.210526 40 L89.473684 63.684211 L94.736842 39.473684 L100 62.105263 L0 65.789474","M0 32.894737 L5.263158 30.263158 L10.526316 27.631579 L15.789474 31.052632 L21.052632 33.157895 L26.315789 32.105263 L31.578947 29.736842 L36.842105 0 L42.105263 18.157895 L47.368421 32.894737 L52.631579 20.526316 L57.894737 29.736842 L63.157895 28.684211 L68.421053 31.315789 L73.684211 32.631579 L78.947368 30 L84.210526 20 L89.473684 31.842105 L94.736842 19.736842 L100 31.052632 L0 32.894737 Z"
137.37,79.56,984,2021,1.755,NA,11.0065851364064,NA,111.006585136406,NA,0.261780821949727,NA,13.37,13.3,10,6.3540101073609,0.7,"2021-03-04",155,17.6,2021,4.23,31.6379955123411,131.637995512341,0.665721320634932,NA,NA,NA,NA,"M0 98.947368 L5.263158 28.421053 L10.526316 63.684211 L15.789474 75.789474 L21.052632 129.473684 L26.315789 36.315789 L31.578947 82.631579 L36.842105 0 L42.105263 5.263158 L47.368421 108.421053 L52.631579 49.473684 L57.894737 43.157895 L63.157895 100.526316 L68.421053 63.157895 L73.684211 123.684211 L78.947368 87.368421 L84.210526 61.578947 L89.473684 83.157895 L94.736842 77.894737 L100 65.789474 L0 98.947368","M0 49.473684 L5.263158 14.210526 L10.526316 31.842105 L15.789474 37.894737 L21.052632 64.736842 L26.315789 18.157895 L31.578947 41.315789 L36.842105 0 L42.105263 2.631579 L47.368421 54.210526 L52.631579 24.736842 L57.894737 21.578947 L63.157895 50.263158 L68.421053 31.578947 L73.684211 61.842105 L78.947368 43.684211 L84.210526 30.789474 L89.473684 41.578947 L94.736842 38.947368 L100 32.894737 L0 49.473684 Z"
103.19,17.96,975,2021,2.325,NA,12.317880794702,NA,112.317880794702,NA,0.364614848830857,NA,14.5727272727273,15.9,11,5.81568412297142,1,"2021-03-04",155,21.5,2021,6.92727272727273,47.5358702432938,147.535870243294,1.1911363445464,NA,NA,NA,NA,"M0 117.894737 L5.263158 53.157895 L10.526316 78.421053 L15.789474 72.631579 L21.052632 138.421053 L26.315789 63.157895 L31.578947 50 L36.842105 35.789474 L42.105263 58.421053 L47.368421 103.684211 L52.631579 16.842105 L57.894737 0 L63.157895 72.105263 L68.421053 22.631579 L73.684211 85.789474 L78.947368 68.947368 L84.210526 68.421053 L89.473684 42.105263 L94.736842 84.736842 L100 43.157895 L0 117.894737","M0 58.947368 L5.263158 26.578947 L10.526316 39.210526 L15.789474 36.315789 L21.052632 69.210526 L26.315789 31.578947 L31.578947 25 L36.842105 17.894737 L42.105263 29.210526 L47.368421 51.842105 L52.631579 8.421053 L57.894737 0 L63.157895 36.052632 L68.421053 11.315789 L73.684211 42.894737 L78.947368 34.473684 L84.210526 34.210526 L89.473684 21.052632 L94.736842 42.368421 L100 21.578947 L0 58.947368 Z"
78.02,45.23,942,2021,-3.57,NA,-16.3987138263666,NA,83.6012861736334,NA,-0.308098523489868,NA,14.3545454545455,16,11,8.93413270959903,0.636363636363636,"2021-03-04",155,18.4,2021,4.04545454545454,28.1823939202026,128.182393920203,0.452808870983976,NA,NA,NA,NA,"M0 201.052632 L5.263158 137.894737 L10.526316 220.526316 L15.789474 188.421053 L21.052632 257.368421 L26.315789 177.894737 L31.578947 186.842105 L36.842105 0 L42.105263 67.368421 L47.368421 232.105263 L52.631579 140 L57.894737 126.842105 L63.157895 156.315789 L68.421053 191.578947 L73.684211 265.789474 L78.947368 203.684211 L84.210526 165.263158 L89.473684 169.473684 L94.736842 193.157895 L100 153.157895 L0 201.052632","M0 100.526316 L5.263158 68.947368 L10.526316 110.263158 L15.789474 94.210526 L21.052632 128.684211 L26.315789 88.947368 L31.578947 93.421053 L36.842105 0 L42.105263 33.684211 L47.368421 116.052632 L52.631579 70 L57.894737 63.421053 L63.157895 78.157895 L68.421053 95.789474 L73.684211 132.894737 L78.947368 101.842105 L84.210526 82.631579 L89.473684 84.736842 L94.736842 96.578947 L100 76.578947 L0 100.526316 Z"
66.72,23.38,943,2021,-0.335000000000001,NA,-3.33831589436971,NA,96.6616841056303,NA,-0.0676144898990274,NA,8.225,6.55,12,7.25924175855102,0.75,"2021-03-04",155,10,2021,1.775,21.580547112462,121.580547112462,0.244515895604267,NA,NA,NA,NA,"M0 89.473684 L5.263158 65.263158 L10.526316 82.631579 L15.789474 94.736842 L21.052632 101.052632 L26.315789 54.210526 L31.578947 57.368421 L36.842105 36.842105 L42.105263 86.842105 L47.368421 78.421053 L52.631579 0 L57.894737 30.526316 L63.157895 45.789474 L68.421053 75.263158 L73.684211 111.052632 L78.947368 74.736842 L84.210526 68.947368 L89.473684 67.894737 L94.736842 81.578947 L100 62.105263 L0 89.473684","M0 44.736842 L5.263158 32.631579 L10.526316 41.315789 L15.789474 47.368421 L21.052632 50.526316 L26.315789 27.105263 L31.578947 28.684211 L36.842105 18.421053 L42.105263 43.421053 L47.368421 39.210526 L52.631579 0 L57.894737 15.263158 L63.157895 22.894737 L68.421053 37.631579 L73.684211 55.526316 L78.947368 37.368421 L84.210526 34.473684 L89.473684 33.947368 L94.736842 40.789474 L100 31.052632 L0 44.736842 Z"
83.22,46,928,2021,-0.135,NA,-2.9126213592233,NA,97.0873786407767,NA,-0.0412701459852608,NA,2.36153846153846,1.3,13,2.84620755320083,0.692307692307692,"2021-03-04",155,4.4,2021,2.03846153846154,86.3192182410424,186.319218241042,0.716202701440061,NA,NA,NA,NA,"M0 65.789474 L5.263158 30.526316 L10.526316 59.473684 L15.789474 55.789474 L21.052632 64.210526 L26.315789 57.368421 L31.578947 55.789474 L36.842105 16.315789 L42.105263 0 L47.368421 64.736842 L52.631579 50.526316 L57.894737 43.157895 L63.157895 42.105263 L68.421053 53.684211 L73.684211 63.157895 L78.947368 45.789474 L84.210526 29.473684 L89.473684 53.157895 L94.736842 38.421053 L100 54.210526 L0 65.789474","M0 32.894737 L5.263158 15.263158 L10.526316 29.736842 L15.789474 27.894737 L21.052632 32.105263 L26.315789 28.684211 L31.578947 27.894737 L36.842105 8.157895 L42.105263 0 L47.368421 32.368421 L52.631579 25.263158 L57.894737 21.578947 L63.157895 21.052632 L68.421053 26.842105 L73.684211 31.578947 L78.947368 22.894737 L84.210526 14.736842 L89.473684 26.578947 L94.736842 19.210526 L100 27.105263 L0 32.894737 Z"
77.24,47.48,941,2021,0.925,NA,22.1556886227545,NA,122.155688622754,NA,0.354697286473728,NA,1.7,0.95,12,2.25549833235867,0.833333333333333,"2021-03-04",155,4.5,2021,2.8,164.705882352941,264.705882352941,1.2414108048007,NA,NA,NA,NA,"M0 42.631579 L5.263158 12.631579 L10.526316 26.842105 L15.789474 36.315789 L21.052632 42.105263 L26.315789 34.736842 L31.578947 40 L36.842105 0 L42.105263 2.631579 L47.368421 41.052632 L52.631579 34.736842 L57.894737 27.894737 L63.157895 8.421053 L68.421053 32.105263 L73.684211 43.157895 L78.947368 28.421053 L84.210526 31.052632 L89.473684 26.315789 L94.736842 8.421053 L100 30.526316 L0 42.631579","M0 21.315789 L5.263158 6.315789 L10.526316 13.421053 L15.789474 18.157895 L21.052632 21.052632 L26.315789 17.368421 L31.578947 20 L36.842105 0 L42.105263 1.315789 L47.368421 20.526316 L52.631579 17.368421 L57.894737 13.947368 L63.157895 4.210526 L68.421053 16.052632 L73.684211 21.578947 L78.947368 14.210526 L84.210526 15.526316 L89.473684 13.157895 L94.736842 4.210526 L100 15.263158 L0 21.315789 Z"
88.02,11.14,910,2021,7.74,NA,20.4978813559322,NA,120.497881355932,NA,0.477211167734686,NA,32.8533333333333,34.3,15,17.9051016938376,0.733333333333333,"2021-03-04",155,45.8,2021,12.9466666666667,39.4074675324675,139.407467532468,0.723071384236958,NA,NA,NA,NA,"M0 222.631579 L5.263158 58.947368 L10.526316 216.842105 L15.789474 145.789474 L21.052632 293.157895 L26.315789 97.894737 L31.578947 94.210526 L36.842105 0 L42.105263 135.789474 L47.368421 222.105263 L52.631579 75.263158 L57.894737 36.842105 L63.157895 93.157895 L68.421053 170 L73.684211 323.157895 L78.947368 215.789474 L84.210526 134.736842 L89.473684 100.526316 L94.736842 228.421053 L100 117.894737 L0 222.631579","M0 111.315789 L5.263158 29.473684 L10.526316 108.421053 L15.789474 72.894737 L21.052632 146.578947 L26.315789 48.947368 L31.578947 47.105263 L36.842105 0 L42.105263 67.894737 L47.368421 111.052632 L52.631579 37.631579 L57.894737 18.421053 L63.157895 46.578947 L68.421053 85 L73.684211 161.578947 L78.947368 107.894737 L84.210526 67.368421 L89.473684 50.263158 L94.736842 114.210526 L100 58.947368 L0 111.315789 Z"
84.4,41.18,911,2021,5.28,NA,13.6012364760433,NA,113.601236476043,NA,0.271502608450093,NA,29.44,30.8,15,17.7067702951643,0.933333333333333,"2021-03-04",155,44.6,2021,15.16,51.4945652173913,151.494565217391,0.856169688050912,NA,NA,NA,NA,"M0 365.789474 L5.263158 185.263158 L10.526316 383.684211 L15.789474 286.315789 L21.052632 431.578947 L26.315789 232.105263 L31.578947 245.263158 L36.842105 0 L42.105263 204.736842 L47.368421 351.052632 L52.631579 205.263158 L57.894737 166.315789 L63.157895 227.894737 L68.421053 303.157895 L73.684211 449.473684 L78.947368 280.526316 L84.210526 262.631579 L89.473684 263.157895 L94.736842 350 L100 308.947368 L0 365.789474","M0 182.894737 L5.263158 92.631579 L10.526316 191.842105 L15.789474 143.157895 L21.052632 215.789474 L26.315789 116.052632 L31.578947 122.631579 L36.842105 0 L42.105263 102.368421 L47.368421 175.526316 L52.631579 102.631579 L57.894737 83.157895 L63.157895 113.947368 L68.421053 151.578947 L73.684211 224.736842 L78.947368 140.263158 L84.210526 131.315789 L89.473684 131.578947 L94.736842 175 L100 154.473684 L0 182.894737 Z"
