"x","y","site_id","d_peak","d_sm50","d_apr1"
548.89,211.88,"sntl_1001","M95 59.461538 L100 79.769231 L105 65.153846 L110 78.615385 L115 70.307692 L120 70.076923 L125 77.461538 L130 48.230769 L135 53.461538 L140 57.923077 L145 68.076923 L150 77.923077 L155 57.769231 L160 59.230769 L165 68.769231 L170 86.384615 L175 79.230769 L180 75.230769 L185 81 L190 81.615385 L195 62.923077 L200 68.615385 L100 59.461538","M95 85.835616 L100 93.068493 L105 87.863014 L110 92.657534 L115 89.69863 L120 89.616438 L125 92.246575 L130 81.835616 L135 83.69863 L140 85.287671 L145 88.90411 L150 92.410959 L155 85.232877 L160 85.753425 L165 89.150685 L170 95.424658 L175 92.876712 L180 91.452055 L185 93.506849 L190 93.726027 L195 87.068493 L200 89.09589 L100 85.835616","M95 56.083333 L100 78.083333 L105 62.25 L110 76.833333 L115 67.833333 L120 67.583333 L125 75.583333 L130 43.916667 L135 49.583333 L140 54.416667 L145 65.416667 L150 76.083333 L155 54.25 L160 55.833333 L165 66.166667 L170 85.25 L175 77.5 L180 73.166667 L185 79.416667 L190 80.083333 L195 59.833333 L200 66 L100 56.083333"
382.43,212.17,"sntl_1003","M30 87.923077 L35 100 L45 92.692308 L50 92.538462 L55 85.692308 L60 92.076923 L65 93.076923 L70 90.692308 L75 96.230769 L80 95.076923 L85 92.692308 L90 89.076923 L95 89.538462 L100 86.461538 L105 86.461538 L110 93.384615 L115 89.307692 L120 91.076923 L125 91.923077 L130 91.923077 L135 89.692308 L140 93.307692 L145 85.307692 L150 92.461538 L155 85.076923 L160 89.230769 L165 95.384615 L170 97.923077 L175 90.461538 L180 92.461538 L185 94.615385 L190 94 L195 92.615385 L200 88.846154 L35 87.923077","M30 95.972603 L35 NA L45 97.671233 L50 97.616438 L55 95.178082 L60 97.452055 L65 97.808219 L70 96.958904 L75 98.931507 L80 98.520548 L85 97.671233 L90 96.383562 L95 96.547945 L100 95.452055 L105 95.452055 L110 97.917808 L115 96.465753 L120 97.09589 L125 97.39726 L130 97.39726 L135 96.60274 L140 97.890411 L145 95.041096 L150 97.589041 L155 94.958904 L160 96.438356 L165 98.630137 L170 99.534247 L175 96.876712 L180 97.589041 L185 98.356164 L190 98.136986 L195 97.643836 L200 96.30137 L35 95.972603","M30 86.916667 L35 100 L45 92.083333 L50 91.916667 L55 84.5 L60 91.416667 L65 92.5 L70 89.916667 L75 95.916667 L80 94.666667 L85 92.083333 L90 88.166667 L95 88.666667 L100 85.333333 L105 85.333333 L110 92.833333 L115 88.416667 L120 90.333333 L125 91.25 L130 91.25 L135 88.833333 L140 92.75 L145 84.083333 L150 91.833333 L155 83.833333 L160 88.333333 L165 95 L170 97.75 L175 89.666667 L180 91.833333 L185 94.166667 L190 93.5 L195 92 L200 87.916667 L35 86.916667"
400.89,180.83,"sntl_1035","M105 100 L110 97.692308 L115 92.923077 L120 92.538462 L125 93.692308 L130 92.461538 L135 92.076923 L140 93.769231 L145 90.461538 L150 95.307692 L155 89.692308 L160 94.384615 L165 97.307692 L170 99.307692 L175 95 L180 94.846154 L185 96.230769 L190 96.461538 L195 94 L200 94.153846 L110 100","M105 NA L110 99.452055 L115 97.753425 L120 97.616438 L125 98.027397 L130 97.589041 L135 97.452055 L140 98.054795 L145 96.876712 L150 98.60274 L155 96.60274 L160 98.273973 L165 99.315068 L170 NA L175 98.493151 L180 98.438356 L185 98.931507 L190 99.013699 L195 98.136986 L200 98.191781 L110 NA","M105 100 L110 97.5 L115 92.333333 L120 91.916667 L125 93.166667 L130 91.833333 L135 91.416667 L140 93.25 L145 89.666667 L150 94.916667 L155 88.833333 L160 93.916667 L165 97.083333 L170 99.25 L175 94.583333 L180 94.416667 L185 95.916667 L190 96.166667 L195 93.5 L200 93.666667 L110 100"
430.57,181.35,"sntl_1055","M115 81.923077 L120 80.538462 L125 84.384615 L130 85.153846 L135 84.076923 L140 87.692308 L145 81.615385 L150 87.230769 L155 79 L160 85.692308 L165 84.692308 L170 87.153846 L175 83.461538 L180 85.846154 L185 82.538462 L190 82.846154 L195 80.846154 L200 85.230769 L120 81.923077","M115 93.835616 L120 93.342466 L125 94.712329 L130 94.986301 L135 94.60274 L140 95.890411 L145 93.726027 L150 95.726027 L155 92.794521 L160 95.178082 L165 94.821918 L170 95.69863 L175 94.383562 L180 95.232877 L185 94.054795 L190 94.164384 L195 93.452055 L200 95.013699 L120 93.835616","M115 80.416667 L120 78.916667 L125 83.083333 L130 83.916667 L135 82.75 L140 86.666667 L145 80.083333 L150 86.166667 L155 77.25 L160 84.5 L165 83.416667 L170 86.083333 L175 82.083333 L180 84.666667 L185 81.083333 L190 81.416667 L195 79.25 L200 84 L120 80.416667"
381.69,209.99,"sntl_1062","M0 88.538462 L5 92.538462 L10 93.461538 L15 89.538462 L20 89 L25 92.615385 L30 86.923077 L35 82.153846 L40 90.692308 L45 88 L50 91 L55 88.846154 L60 90 L115 100 L120 90.461538 L125 90.769231 L130 91.076923 L135 87.307692 L140 92.461538 L145 87.076923 L150 91.538462 L155 87.076923 L160 87.307692 L165 92.769231 L170 94.076923 L175 87.153846 L180 92.923077 L185 90.153846 L190 88.461538 L195 91.769231 L200 86.615385 L5 88.538462","M0 96.191781 L5 97.616438 L10 97.945205 L15 96.547945 L20 96.356164 L25 97.643836 L30 95.616438 L35 93.917808 L40 96.958904 L45 96 L50 97.068493 L55 96.30137 L60 96.712329 L115 NA L120 96.876712 L125 96.986301 L130 97.09589 L135 95.753425 L140 97.589041 L145 95.671233 L150 97.260274 L155 95.671233 L160 95.753425 L165 97.69863 L170 98.164384 L175 95.69863 L180 97.753425 L185 96.767123 L190 96.164384 L195 97.342466 L200 95.506849 L5 96.191781","M0 87.583333 L5 91.916667 L10 92.916667 L15 88.666667 L20 88.083333 L25 92 L30 85.833333 L35 80.666667 L40 89.916667 L45 87 L50 90.25 L55 87.916667 L60 89.166667 L115 100 L120 89.666667 L125 90 L130 90.333333 L135 86.25 L140 91.833333 L145 86 L150 90.833333 L155 86 L160 86.25 L165 92.166667 L170 93.583333 L175 86.083333 L180 92.333333 L185 89.333333 L190 87.5 L195 91.083333 L200 85.5 L5 87.583333"
395.35,186.2,"sntl_1070","M120 100 L125 91.461538 L130 91.846154 L135 89.692308 L140 91.769231 L145 90.153846 L150 93.692308 L155 84.384615 L160 91.153846 L165 95.153846 L170 97 L175 94.384615 L180 93.153846 L185 94.692308 L190 95.153846 L195 91.307692 L200 90.461538 L125 100","M120 NA L125 97.232877 L130 97.369863 L135 96.60274 L140 97.342466 L145 96.767123 L150 98.027397 L155 94.712329 L160 97.123288 L165 98.547945 L170 99.205479 L175 98.273973 L180 97.835616 L185 98.383562 L190 98.547945 L195 97.178082 L200 96.876712 L125 NA","M120 100 L125 90.75 L130 91.166667 L135 88.833333 L140 91.083333 L145 89.333333 L150 93.166667 L155 83.083333 L160 90.416667 L165 94.75 L170 96.75 L175 93.916667 L180 92.583333 L185 94.25 L190 94.75 L195 90.583333 L200 89.666667 L125 100"
381.66,142.15,"sntl_1072","M190 100 L195 100 L200 94.230769 L195 100","M190 NA L195 NA L200 98.219178 L195 NA","M190 100 L195 100 L200 93.75 L195 100"
431.15,193.16,"sntl_1073","M120 100 L125 85.384615 L130 78.923077 L135 66.769231 L140 77.615385 L145 67.538462 L150 78.846154 L155 58.230769 L160 62.769231 L165 90.538462 L170 92 L175 88.846154 L180 79.384615 L185 89 L190 88.615385 L195 81.307692 L200 80.230769 L125 100","M120 NA L125 95.068493 L130 92.767123 L135 88.438356 L140 92.30137 L145 88.712329 L150 92.739726 L155 85.39726 L160 87.013699 L165 96.90411 L170 97.424658 L175 96.30137 L180 92.931507 L185 96.356164 L190 96.219178 L195 93.616438 L200 93.232877 L125 NA","M120 100 L125 84.166667 L130 77.166667 L135 64 L140 75.75 L145 64.833333 L150 77.083333 L155 54.75 L160 59.666667 L165 89.75 L170 91.333333 L175 87.916667 L180 77.666667 L185 88.083333 L190 87.666667 L195 79.75 L200 78.583333 L125 100"
384.18,158.8,"sntl_1089","M125 100 L130 92.846154 L135 84.076923 L140 87.692308 L145 89.615385 L150 87.307692 L155 86.461538 L160 87.153846 L165 92.076923 L170 90.461538 L175 88.307692 L180 92.307692 L185 88.615385 L190 88.384615 L195 81.461538 L200 88.769231 L130 100","M125 NA L130 97.726027 L135 94.60274 L140 95.890411 L145 96.575342 L150 95.753425 L155 95.452055 L160 95.69863 L165 97.452055 L170 96.876712 L175 96.109589 L180 97.534247 L185 96.219178 L190 96.136986 L195 93.671233 L200 96.273973 L130 NA","M125 100 L130 92.25 L135 82.75 L140 86.666667 L145 88.75 L150 86.25 L155 85.333333 L160 86.083333 L165 91.416667 L170 89.666667 L175 87.333333 L180 91.666667 L185 87.666667 L190 87.416667 L195 79.916667 L200 87.833333 L130 100"
397.9,173.47,"sntl_1091","M200 90.153846 L 90.153846","M200 96.767123 L 96.767123","M200 89.333333 L 89.333333"
