"x","y","site_id","d_peak","d_sm50","d_apr1"
396.9,203.09,"sntl_1092","M155 77.923077 L160 83.538462 L165 92.461538 L170 97.384615 L175 89.769231 L180 86.692308 L185 92 L190 90.769231 L195 92.692308 L200 84 L160 77.923077","M155 92.410959 L160 94.410959 L165 97.589041 L170 99.342466 L175 96.630137 L180 95.534247 L185 97.424658 L190 96.986301 L195 97.671233 L200 94.575342 L160 92.410959","M155 76.083333 L160 82.166667 L165 91.833333 L170 97.166667 L175 88.916667 L180 85.583333 L185 91.333333 L190 90 L195 92.083333 L200 82.666667 L160 76.083333"
459.07,160.57,"sntl_1093","M140 95.538462 L145 97.230769 L150 96.923077 L155 97.076923 L160 97.076923 L165 96.615385 L170 97.846154 L175 97.538462 L180 97.769231 L185 96.076923 L190 97.461538 L195 96.615385 L200 97.461538 L145 95.538462","M140 98.684932 L145 99.287671 L150 99.178082 L155 99.232877 L160 99.232877 L165 99.068493 L170 99.506849 L175 99.39726 L180 99.479452 L185 98.876712 L190 99.369863 L195 99.068493 L200 99.369863 L145 98.684932","M140 95.166667 L145 97 L150 96.666667 L155 96.833333 L160 96.833333 L165 96.333333 L170 97.666667 L175 97.333333 L180 97.583333 L185 95.75 L190 97.25 L195 96.333333 L200 97.25 L145 95.166667"
409.29,144.44,"sntl_1094","M185 100 L190 100 L195 100 L200 94.769231 L190 100","M185 NA L190 NA L195 NA L200 98.410959 L190 NA","M185 100 L190 100 L195 100 L200 94.333333 L190 100"
455.73,174.62,"sntl_1096","M130 100 L135 95.692308 L140 94.769231 L145 96.846154 L150 96.384615 L155 95.923077 L160 95.538462 L165 95.769231 L170 96.461538 L175 97.153846 L180 96.461538 L185 95.538462 L190 97.307692 L195 95.615385 L200 94.076923 L135 100","M130 NA L135 98.739726 L140 98.410959 L145 99.150685 L150 98.986301 L155 98.821918 L160 98.684932 L165 98.767123 L170 99.013699 L175 99.260274 L180 99.013699 L185 98.684932 L190 99.315068 L195 98.712329 L200 98.164384 L135 NA","M130 100 L135 95.333333 L140 94.333333 L145 96.583333 L150 96.083333 L155 95.583333 L160 95.166667 L165 95.416667 L170 96.166667 L175 96.916667 L180 96.166667 L185 95.166667 L190 97.083333 L195 95.25 L200 93.583333 L135 100"
400.67,188.6,"sntl_1103","M0 60.923077 L5 75 L10 55.923077 L15 100 L20 73.615385 L25 72.307692 L30 60.230769 L35 46.846154 L40 78.153846 L45 68.769231 L50 73 L55 65.538462 L60 73.307692 L65 77.076923 L70 58.923077 L75 84.615385 L80 73.615385 L85 65.692308 L90 67.461538 L95 65.846154 L100 55.769231 L105 75.230769 L110 84.153846 L115 69.923077 L120 75.615385 L125 73.615385 L130 77.230769 L135 67 L140 70.846154 L145 66.230769 L150 81.230769 L155 70.230769 L160 72.076923 L165 89.307692 L170 95.307692 L175 79.615385 L180 84.384615 L185 88 L190 86.153846 L195 85.923077 L200 75.384615 L5 60.923077","M0 86.356164 L5 91.369863 L10 84.575342 L15 NA L20 90.876712 L25 90.410959 L30 86.109589 L35 81.342466 L40 92.493151 L45 89.150685 L50 90.657534 L55 88 L60 90.767123 L65 92.109589 L70 85.643836 L75 94.794521 L80 90.876712 L85 88.054795 L90 88.684932 L95 88.109589 L100 84.520548 L105 91.452055 L110 94.630137 L115 89.561644 L120 91.589041 L125 90.876712 L130 92.164384 L135 88.520548 L140 89.890411 L145 88.246575 L150 93.589041 L155 89.671233 L160 90.328767 L165 96.465753 L170 98.60274 L175 93.013699 L180 94.712329 L185 96 L190 95.342466 L195 95.260274 L200 91.506849 L5 86.356164","M0 57.666667 L5 72.916667 L10 52.25 L15 100 L20 71.416667 L25 70 L30 56.916667 L35 42.416667 L40 76.333333 L45 66.166667 L50 70.75 L55 62.666667 L60 71.083333 L65 75.166667 L70 55.5 L75 83.333333 L80 71.416667 L85 62.833333 L90 64.75 L95 63 L100 52.083333 L105 73.166667 L110 82.833333 L115 67.416667 L120 73.583333 L125 71.416667 L130 75.333333 L135 64.25 L140 68.416667 L145 63.416667 L150 79.666667 L155 67.75 L160 69.75 L165 88.416667 L170 94.916667 L175 77.916667 L180 83.083333 L185 87 L190 85 L195 84.75 L200 73.333333 L5 57.666667"
299.55,58.64,"sntl_1175","M60 92.307692 L65 94.615385 L70 92.692308 L150 100 L155 97.153846 L160 96.923077 L165 96.307692 L170 94.692308 L175 97.461538 L180 95.769231 L185 92.307692 L190 91.538462 L195 94.538462 L200 95.923077 L65 92.307692","M60 97.534247 L65 98.356164 L70 97.671233 L150 NA L155 99.260274 L160 99.178082 L165 98.958904 L170 98.383562 L175 99.369863 L180 98.767123 L185 97.534247 L190 97.260274 L195 98.328767 L200 98.821918 L65 97.534247","M60 91.666667 L65 94.166667 L70 92.083333 L150 100 L155 96.916667 L160 96.666667 L165 96 L170 94.25 L175 97.25 L180 95.416667 L185 91.666667 L190 90.833333 L195 94.083333 L200 95.583333 L65 91.666667"
374.94,80.34,"sntl_1182","M0 93.461538 L5 95 L10 96.153846 L15 94.615385 L20 94.307692 L25 96.153846 L30 95 L35 93 L40 92 L45 95.230769 L50 92.846154 L55 96.461538 L60 89.538462 L65 92.692308 L70 94.769231 L75 95.076923 L80 96.538462 L85 97.307692 L90 96 L95 93.153846 L100 94 L105 93.461538 L110 93.230769 L115 94.692308 L120 91.230769 L125 94.615385 L130 98.307692 L135 94.923077 L140 92.692308 L145 97.538462 L150 95.307692 L155 94.307692 L160 96 L165 95.307692 L170 96 L175 95.615385 L180 95.615385 L185 92.461538 L190 90.384615 L195 92.461538 L200 96.615385 L5 93.461538","M0 97.945205 L5 98.493151 L10 98.90411 L15 98.356164 L20 98.246575 L25 98.90411 L30 98.493151 L35 97.780822 L40 97.424658 L45 98.575342 L50 97.726027 L55 99.013699 L60 96.547945 L65 97.671233 L70 98.410959 L75 98.520548 L80 99.041096 L85 99.315068 L90 98.849315 L95 97.835616 L100 98.136986 L105 97.945205 L110 97.863014 L115 98.383562 L120 97.150685 L125 98.356164 L130 99.671233 L135 98.465753 L140 97.671233 L145 99.39726 L150 98.60274 L155 98.246575 L160 98.849315 L165 98.60274 L170 98.849315 L175 98.712329 L180 98.712329 L185 97.589041 L190 96.849315 L195 97.589041 L200 99.068493 L5 97.945205","M0 92.916667 L5 94.583333 L10 95.833333 L15 94.166667 L20 93.833333 L25 95.833333 L30 94.583333 L35 92.416667 L40 91.333333 L45 94.833333 L50 92.25 L55 96.166667 L60 88.666667 L65 92.083333 L70 94.333333 L75 94.666667 L80 96.25 L85 97.083333 L90 95.666667 L95 92.583333 L100 93.5 L105 92.916667 L110 92.666667 L115 94.25 L120 90.5 L125 94.166667 L130 98.166667 L135 94.5 L140 92.083333 L145 97.333333 L150 94.916667 L155 93.833333 L160 95.666667 L165 94.916667 L170 95.666667 L175 95.25 L180 95.25 L185 91.833333 L190 89.583333 L195 91.833333 L200 96.333333 L5 92.916667"
456.42,110.14,"sntl_1189","M155 97.153846 L160 97.153846 L165 97.076923 L170 96.230769 L175 96.615385 L180 97.307692 L185 97.692308 L190 97.384615 L195 95.615385 L200 97.384615 L160 97.153846","M155 99.260274 L160 99.260274 L165 99.232877 L170 98.931507 L175 99.068493 L180 99.315068 L185 99.452055 L190 99.342466 L195 98.712329 L200 99.342466 L160 99.260274","M155 96.916667 L160 96.916667 L165 96.833333 L170 95.916667 L175 96.333333 L180 97.083333 L185 97.5 L190 97.166667 L195 95.25 L200 97.166667 L160 96.916667"
410.1,117.56,"sntl_1260","M200 96.846154 L 96.846154","M200 99.150685 L 99.150685","M200 96.583333 L 96.583333"
384.01,175.03,"sntl_1267","M170 96.538462 L175 92.615385 L180 96 L185 93.307692 L190 93.461538 L195 88.923077 L200 92.307692 L175 96.538462","M170 99.041096 L175 97.643836 L180 98.849315 L185 97.890411 L190 97.945205 L195 96.328767 L200 97.534247 L175 99.041096","M170 96.25 L175 92 L180 95.666667 L185 92.75 L190 92.916667 L195 88 L200 91.666667 L175 96.25"
426.09,144.61,"sntl_1268","M170 91.923077 L175 92.461538 L180 96 L185 91.461538 L190 93.692308 L195 86.384615 L200 94.769231 L175 91.923077","M170 97.39726 L175 97.589041 L180 98.849315 L185 97.232877 L190 98.027397 L195 95.424658 L200 98.410959 L175 97.39726","M170 91.25 L175 91.833333 L180 95.666667 L185 90.75 L190 93.166667 L195 85.25 L200 94.333333 L175 91.25"
536.71,205.78,"sntl_1270","M175 88.461538 L180 87.692308 L185 92.769231 L190 93.076923 L195 80.153846 L200 82.076923 L180 88.461538","M175 96.164384 L180 95.890411 L185 97.69863 L190 97.808219 L195 93.205479 L200 93.890411 L180 96.164384","M175 87.5 L180 86.666667 L185 92.166667 L190 92.5 L195 78.5 L200 80.583333 L180 87.5"
457.88,121.84,"sntl_1275","M175 94 L180 97.384615 L185 95.923077 L190 95.307692 L195 94.076923 L200 96.846154 L180 94","M175 98.136986 L180 99.342466 L185 98.821918 L190 98.60274 L195 98.164384 L200 99.150685 L180 98.136986","M175 93.5 L180 97.166667 L185 95.583333 L190 94.916667 L195 93.583333 L200 96.583333 L180 93.5"
520.31,197.05,"sntl_1285","M185 88.846154 L190 84.538462 L195 79.692308 L200 71.615385 L190 88.846154","M185 96.30137 L190 94.767123 L195 93.041096 L200 90.164384 L190 96.30137","M185 87.916667 L190 83.25 L195 78 L200 69.25 L190 87.916667"
335.78,120.94,"sntl_429","M190 95.461538 L195 94.230769 L200 96.076923 L195 95.461538","M190 98.657534 L195 98.219178 L200 98.876712 L195 98.657534","M190 95.083333 L195 93.75 L200 95.75 L195 95.083333"
398.04,174.2,"sntl_641","M195 82.615385 L200 90.230769 L200 82.615385","M195 94.082192 L200 96.794521 L200 94.082192","M195 81.166667 L200 89.416667 L200 81.166667"
343.63,153.4,"sntl_785","M195 85.923077 L200 93 L200 85.923077","M195 95.260274 L200 97.780822 L200 95.260274","M195 84.75 L200 92.416667 L200 84.75"
397.07,186.83,"sntl_946","M0 81.307692 L5 85.461538 L10 79.846154 L15 79.692308 L20 79.846154 L25 85.076923 L30 81.615385 L35 71.923077 L40 83.923077 L45 74.153846 L50 81.692308 L55 76.153846 L60 79.384615 L65 80.846154 L70 75.923077 L75 92.230769 L80 80.153846 L85 75.153846 L90 83.692308 L95 74.923077 L100 69.153846 L105 83.307692 L110 87.923077 L115 80.692308 L120 76.461538 L125 82.923077 L130 89.076923 L135 77.846154 L140 80.846154 L145 79.846154 L150 85.538462 L155 73.769231 L160 76.846154 L165 89.461538 L170 87.307692 L175 82.923077 L180 90.230769 L185 84.538462 L190 81.076923 L195 81 L200 81.461538 L5 81.307692","M0 93.616438 L5 95.09589 L10 93.09589 L15 93.041096 L20 93.09589 L25 94.958904 L30 93.726027 L35 90.273973 L40 94.547945 L45 91.068493 L50 93.753425 L55 91.780822 L60 92.931507 L65 93.452055 L70 91.69863 L75 97.506849 L80 93.205479 L85 91.424658 L90 94.465753 L95 91.342466 L100 89.287671 L105 94.328767 L110 95.972603 L115 93.39726 L120 91.890411 L125 94.191781 L130 96.383562 L135 92.383562 L140 93.452055 L145 93.09589 L150 95.123288 L155 90.931507 L160 92.027397 L165 96.520548 L170 95.753425 L175 94.191781 L180 96.794521 L185 94.767123 L190 93.534247 L195 93.506849 L200 93.671233 L5 93.616438","M0 79.75 L5 84.25 L10 78.166667 L15 78 L20 78.166667 L25 83.833333 L30 80.083333 L35 69.583333 L40 82.583333 L45 72 L50 80.166667 L55 74.166667 L60 77.666667 L65 79.25 L70 73.916667 L75 91.583333 L80 78.5 L85 73.083333 L90 82.333333 L95 72.833333 L100 66.583333 L105 81.916667 L110 86.916667 L115 79.083333 L120 74.5 L125 81.5 L130 88.166667 L135 76 L140 79.25 L145 78.166667 L150 84.333333 L155 71.583333 L160 74.916667 L165 88.583333 L170 86.25 L175 81.5 L180 89.416667 L185 83.25 L190 79.5 L195 79.416667 L200 79.916667 L5 79.75"
413.2,110.58,"sntl_947","M5 96.461538 L10 95.384615 L15 95.923077 L20 93.153846 L25 96.923077 L30 96.769231 L35 97.846154 L40 93.846154 L45 94.846154 L50 93 L55 94.153846 L60 91.461538 L65 95.076923 L70 94 L75 95.384615 L80 96.076923 L85 96.923077 L90 96.461538 L95 93.615385 L100 95.692308 L105 94.769231 L110 95 L115 95.230769 L120 95.076923 L125 95.846154 L130 98.538462 L135 97.615385 L140 97 L145 97.769231 L150 95.307692 L155 95.384615 L160 95.538462 L165 96.461538 L170 95.461538 L175 96.615385 L180 95.307692 L185 92.923077 L190 96.153846 L195 94.153846 L200 96.230769 L10 96.461538","M5 99.013699 L10 98.630137 L15 98.821918 L20 97.835616 L25 99.178082 L30 99.123288 L35 99.506849 L40 98.082192 L45 98.438356 L50 97.780822 L55 98.191781 L60 97.232877 L65 98.520548 L70 98.136986 L75 98.630137 L80 98.876712 L85 99.178082 L90 99.013699 L95 98 L100 98.739726 L105 98.410959 L110 98.493151 L115 98.575342 L120 98.520548 L125 98.794521 L130 99.753425 L135 99.424658 L140 99.205479 L145 99.479452 L150 98.60274 L155 98.630137 L160 98.684932 L165 99.013699 L170 98.657534 L175 99.068493 L180 98.60274 L185 97.753425 L190 98.90411 L195 98.191781 L200 98.931507 L10 99.013699","M5 96.166667 L10 95 L15 95.583333 L20 92.583333 L25 96.666667 L30 96.5 L35 97.666667 L40 93.333333 L45 94.416667 L50 92.416667 L55 93.666667 L60 90.75 L65 94.666667 L70 93.5 L75 95 L80 95.75 L85 96.666667 L90 96.166667 L95 93.083333 L100 95.333333 L105 94.333333 L110 94.583333 L115 94.833333 L120 94.666667 L125 95.5 L130 98.416667 L135 97.416667 L140 96.75 L145 97.583333 L150 94.916667 L155 95 L160 95.166667 L165 96.166667 L170 95.083333 L175 96.333333 L180 94.916667 L185 92.333333 L190 95.833333 L195 93.666667 L200 95.916667 L10 96.166667"
417.37,107.7,"sntl_948","M5 96.384615 L10 95.076923 L15 95.153846 L20 93.153846 L25 95.923077 L30 96.461538 L35 97.692308 L40 92.384615 L45 94.538462 L50 93.307692 L55 93.538462 L60 91.923077 L65 94.846154 L70 94.230769 L75 95.846154 L80 96.538462 L85 97.307692 L90 96.769231 L95 92.769231 L100 96.076923 L105 94.769231 L110 96.307692 L115 94.923077 L120 93.384615 L125 94.307692 L130 97.461538 L135 96.692308 L140 94.307692 L145 97.307692 L150 95.615385 L155 95.384615 L160 94.538462 L165 95.153846 L170 95 L175 94.461538 L180 95.923077 L185 91.538462 L190 94 L195 90.923077 L200 95.615385 L10 96.384615","M5 98.986301 L10 98.520548 L15 98.547945 L20 97.835616 L25 98.821918 L30 99.013699 L35 99.452055 L40 97.561644 L45 98.328767 L50 97.890411 L55 97.972603 L60 97.39726 L65 98.438356 L70 98.219178 L75 98.794521 L80 99.041096 L85 99.315068 L90 99.123288 L95 97.69863 L100 98.876712 L105 98.410959 L110 98.958904 L115 98.465753 L120 97.917808 L125 98.246575 L130 99.369863 L135 99.09589 L140 98.246575 L145 99.315068 L150 98.712329 L155 98.630137 L160 98.328767 L165 98.547945 L170 98.493151 L175 98.30137 L180 98.821918 L185 97.260274 L190 98.136986 L195 97.041096 L200 98.712329 L10 98.986301","M5 96.083333 L10 94.666667 L15 94.75 L20 92.583333 L25 95.583333 L30 96.166667 L35 97.5 L40 91.75 L45 94.083333 L50 92.75 L55 93 L60 91.25 L65 94.416667 L70 93.75 L75 95.5 L80 96.25 L85 97.083333 L90 96.5 L95 92.166667 L100 95.75 L105 94.333333 L110 96 L115 94.5 L120 92.833333 L125 93.833333 L130 97.25 L135 96.416667 L140 93.833333 L145 97.083333 L150 95.25 L155 95 L160 94.083333 L165 94.75 L170 94.583333 L175 94 L180 95.583333 L185 90.833333 L190 93.5 L195 90.166667 L200 95.25 L10 96.083333"
419.9,110.54,"sntl_949","M0 98.076923 L5 96.384615 L10 95.923077 L15 96.769231 L20 93.846154 L25 97.615385 L30 97.538462 L35 97.692308 L40 97.076923 L45 94.923077 L50 93.846154 L55 92.923077 L60 92.461538 L65 95.923077 L70 94.153846 L75 95.384615 L80 96.384615 L85 96.615385 L90 96.846154 L95 92.923077 L100 95.923077 L105 95 L110 95.153846 L115 95.461538 L120 94.846154 L125 95.307692 L130 97.461538 L135 97.538462 L140 94.538462 L145 98.076923 L150 95.230769 L155 96 L160 95.153846 L165 95.461538 L170 94.846154 L175 96.153846 L180 94.076923 L185 92.923077 L190 96.846154 L195 92.769231 L200 96.307692 L5 98.076923","M0 99.589041 L5 98.986301 L10 98.821918 L15 99.123288 L20 98.082192 L25 99.424658 L30 99.39726 L35 99.452055 L40 99.232877 L45 98.465753 L50 98.082192 L55 97.753425 L60 97.589041 L65 98.821918 L70 98.191781 L75 98.630137 L80 98.986301 L85 99.068493 L90 99.150685 L95 97.753425 L100 98.821918 L105 98.493151 L110 98.547945 L115 98.657534 L120 98.438356 L125 98.60274 L130 99.369863 L135 99.39726 L140 98.328767 L145 99.589041 L150 98.575342 L155 98.849315 L160 98.547945 L165 98.657534 L170 98.438356 L175 98.90411 L180 98.164384 L185 97.753425 L190 99.150685 L195 97.69863 L200 98.958904 L5 99.589041","M0 97.916667 L5 96.083333 L10 95.583333 L15 96.5 L20 93.333333 L25 97.416667 L30 97.333333 L35 97.5 L40 96.833333 L45 94.5 L50 93.333333 L55 92.333333 L60 91.833333 L65 95.583333 L70 93.666667 L75 95 L80 96.083333 L85 96.333333 L90 96.583333 L95 92.333333 L100 95.583333 L105 94.583333 L110 94.75 L115 95.083333 L120 94.416667 L125 94.916667 L130 97.25 L135 97.333333 L140 94.083333 L145 97.916667 L150 94.833333 L155 95.666667 L160 94.75 L165 95.083333 L170 94.416667 L175 95.833333 L180 93.583333 L185 92.333333 L190 96.583333 L195 92.166667 L200 96 L5 97.916667"
