date,discharge,SWEin,PRECin,TOBSdegC,TMAXdegC,TMINdegC,TAVGdegC,SNDEPTHin
1/1/2004,0.051806401,4.5,6.4,-7.9,-2,-7.9,-5.5,-99.9
1/2/2004,0.051806401,4.6,6.4,-6.1,-2.9,-8.9,-6.2,-99.9
1/3/2004,0.051806401,5,7,-11.1,-5.7,-11.6,-8,-99.9
1/4/2004,0.051806401,5.2,7.2,-16,-9.1,-16.1,-12.6,-99.9
1/5/2004,0.051806401,5.3,7.3,-20.6,-15.7,-20.6,-18.9,-99.9
1/6/2004,0.051806401,5.4,7.4,-18,-18,-21.1,-20,-99.9
1/7/2004,0.051806401,5.8,7.8,-3.4,-3.1,-17.9,-9.9,-99.9
1/8/2004,0.051806401,5.8,7.8,-7.7,-2.9,-7.7,-5,-99.9
1/9/2004,0.051806401,5.9,7.9,-6.6,-6.3,-9.1,-7.5,-99.9
1/10/2004,0.051806401,5.9,7.9,-1.3,-0.9,-7.1,-4.1,-99.9
1/11/2004,0.051806401,5.9,7.9,-0.6,3.8,-2.7,-0.1,-99.9
1/12/2004,0.051806401,5.9,7.9,-3.7,4.1,-6.4,-1,-99.9
1/13/2004,0.051806401,5.8,7.9,-6.3,2.7,-12.1,-4.4,-99.9
1/14/2004,0.051806401,5.8,7.9,-2.4,1.6,-12.2,-3.7,-99.9
1/15/2004,0.051806401,5.8,7.9,-8.5,5.2,-8.5,-2.3,-99.9
1/16/2004,0.051806401,6,8.1,-3.8,5.2,-10.1,-3.4,-99.9
1/17/2004,0.051806401,6,8.1,-9.6,-1.7,-9.6,-5.7,-99.9
1/18/2004,0.051806401,6,8.1,-15.4,-1.6,-16.3,-9.9,-99.9
1/19/2004,0.051806401,6,8.1,-7.1,-0.6,-15.9,-7.4,-99.9
1/20/2004,0.051806401,6,8.1,-12.3,-3.3,-12.4,-7.8,-99.9
1/21/2004,0.051806401,6,8.1,-18.9,-8,-18.9,-12.7,-99.9
1/22/2004,0.051806401,6,8.1,-10.1,-6,-20.5,-11.4,-99.9
1/23/2004,0.051806401,6,8.1,-5.3,-4.2,-10.5,-7.6,-99.9
1/24/2004,0.051806401,6,8.1,-2.6,0.6,-5.1,-2.6,-99.9
1/25/2004,0.051806401,6,8.1,-7.7,2.9,-7.8,-2.8,-99.9
1/26/2004,0.051806401,6,8.1,-19.1,-7.4,-19.2,-12.1,-99.9
1/27/2004,0.051806401,6,8.1,-18.2,-16.8,-21.2,-18.7,-99.9
1/28/2004,0.051806401,6.2,8.4,-10.8,-10.3,-18.2,-13.3,-99.9
1/29/2004,0.051806401,6.3,8.5,-9.2,-5.4,-11,-8.5,-99.9
1/30/2004,0.051806401,6.3,8.5,-6.8,-5.5,-9.5,-7.8,-99.9
1/31/2004,0.051806401,6.4,8.7,-5.8,-1,-6.6,-4.7,-99.9
2/1/2004,0.051806401,6.6,8.9,-16.5,-5.7,-16.5,-9.8,-99.9
2/2/2004,0.051806401,6.6,9,-15.3,-12.6,-21.3,-15.9,-99.9
2/3/2004,0.051806401,6.8,9.1,-9.9,-9.9,-18.1,-14,-99.9
2/4/2004,0.051806401,7,9.1,-12,-4,-12,-8.5,-99.9
2/5/2004,0.051806401,7.1,9.5,-16.4,-8.9,-18.8,-14,-99.9
2/6/2004,0.051806401,7.2,9.6,-16.3,-9.4,-21.5,-15.1,-99.9
2/7/2004,0.051806401,7.4,9.7,-12.1,-12,-17.2,-14.3,-99.9
2/8/2004,0.051806401,7.4,9.7,-11.3,0.9,-12.8,-6.4,-99.9
2/9/2004,0.051806401,7.4,9.8,-15.3,-10.7,-15.3,-13.1,-99.9
2/10/2004,0.051806401,7.4,9.8,-16.1,-10.2,-19.7,-14.8,-99.9
2/11/2004,0.051806401,7.6,9.8,-13.4,-4.2,-16.1,-10.7,-99.9
2/12/2004,0.051806401,7.6,10,-29.2,-12.9,-29.2,-19.1,-99.9
2/13/2004,0.051806401,7.6,10,-15.4,-11.4,-29.8,-20.2,-99.9
2/14/2004,0.051806401,7.8,10,-16.2,-3.2,-16.2,-9.1,-99.9
2/15/2004,0.051806401,7.8,10,-7.6,0.5,-17.4,-8.1,-99.9
2/16/2004,0.051806401,7.9,10.1,-10.9,-2.2,-10.9,-7.4,-99.9
2/17/2004,0.051806401,7.9,10.1,-7.4,-6.1,-12.1,-9.1,-99.9
2/18/2004,0.051806401,8,10.2,-1.4,3.2,-7.4,-1.9,-99.9
2/19/2004,0.051806401,8.1,10.3,-0.4,8.3,-1.4,2.3,-99.9
2/20/2004,0.051806401,8.4,10.6,-9.1,0.3,-9.7,-4.2,-99.9
2/21/2004,0.051806401,8.4,10.6,-14.1,-1.8,-16.1,-9,-99.9
2/22/2004,0.051806401,8.5,10.6,-7.4,-0.7,-11.2,-5.7,-99.9
2/23/2004,0.051806401,8.7,10.9,-14.2,-0.5,-14.2,-6.3,-99.9
2/24/2004,0.051806401,8.7,10.9,-12.7,1.5,-15.7,-8.5,-99.9
2/25/2004,0.051806401,8.8,11,-5.5,3.3,-15.7,-6,-99.9
2/26/2004,0.051806401,8.8,11,-5.1,0.3,-8.3,-4.4,-99.9
