date,discharge,SWEin,PRECin,TOBSdegC,TMAXdegC,TMINdegC,TAVGdegC,SNDEPTHin
2/27/2004,0.051806401,8.8,11,-4.1,5.7,-6.7,-1.5,-99.9
2/28/2004,0.051806401,8.8,11,-9.3,4.2,-9.7,-3.3,-99.9
2/29/2004,0.051806401,8.9,11.1,-10.7,0.6,-12.2,-7.4,-99.9
3/1/2004,0.051806401,9,11.3,-12.5,-6.8,-12.6,-10.9,-99.9
3/2/2004,0.051806401,9,11.4,-15.3,-5.5,-17.2,-10.6,-99.9
3/3/2004,0.051806401,9.2,11.5,-8.7,-2.4,-19.3,-10.2,-99.9
3/4/2004,0.051806401,9.2,11.5,-6.3,-0.6,-12.1,-6.5,-99.9
3/5/2004,0.051806401,9.6,11.9,-10.7,-0.1,-10.7,-5.7,-99.9
3/6/2004,0.051806401,9.8,12,-10.6,-6.6,-16.3,-10.8,-99.9
3/7/2004,0.051806401,10.4,12.8,-8.3,-5.8,-10.3,-7.6,-99.9
3/8/2004,0.051806401,10.6,12.9,-0.6,0.9,-8.3,-3.5,-99.9
3/9/2004,0.051806401,10.6,12.9,-8.2,7,-8.8,-0.4,-99.9
3/10/2004,0.051806401,10.6,12.9,-1,9.4,-9.7,1.2,-99.9
3/11/2004,0.051806401,10.6,12.9,-6.4,4,-7.4,-2.1,-99.9
3/12/2004,0.051806401,10.6,12.9,-0.7,5.5,-12.6,-2.8,-99.9
3/13/2004,0.051806401,10.6,12.9,-1.7,7.8,-5.5,1.2,-99.9
3/14/2004,0.051806401,10.5,12.9,-9.3,5.2,-9.3,-1.9,-99.9
3/15/2004,0.051806401,10.7,13.1,-5.3,3.2,-8.2,-1.6,-99.9
3/16/2004,0.051806401,10.9,13.3,-5.8,-2.5,-6.8,-5.2,-99.9
3/17/2004,0.051806401,10.9,13.4,-4,-0.4,-7.9,-4.2,-99.9
3/18/2004,0.051806401,10.9,13.4,-2.5,3.2,-4.9,-1.1,-99.9
3/19/2004,0.051806401,10.9,13.4,1.2,7.2,-4.1,1.3,-99.9
3/20/2004,0.051806401,10.9,13.4,3.1,11.4,0.9,5.2,-99.9
3/21/2004,0.051806401,10.8,13.4,-1.1,11.7,-4.9,3.4,-99.9
3/22/2004,0.051806401,10.8,13.4,-3.2,11.2,-3.2,4.9,-99.9
3/23/2004,0.051806401,10.6,13.4,4.1,13.4,-3.4,5.9,-99.9
3/24/2004,0.051806401,10.5,13.4,1.7,10.2,0.5,4,-99.9
3/25/2004,0.051806401,10.4,13.5,-0.8,10.2,-1.1,3.2,-99.9
3/26/2004,0.051806401,10.4,13.6,-3.5,10.2,-4.1,2.2,-99.9
3/27/2004,0.051806401,10.4,13.6,1,13.9,-2.5,5.9,-99.9
3/28/2004,0.051806401,10.6,13.8,-9.3,0.5,-9.3,-5.7,-99.9
3/29/2004,0.051806401,10.8,13.9,-8.8,-2.8,-10,-8.1,-99.9
3/30/2004,0.051806401,10.8,13.9,-6.4,4.8,-9,-3,-99.9
3/31/2004,0.051806401,10.8,13.9,-0.2,10.4,-7.6,1.3,-99.9
4/1/2004,0.051328159,10.8,13.9,-4.3,12.2,-4.3,4.3,-99.9
4/2/2004,0.037448904,10.5,13.9,-3,12.4,-4.6,3.3,-99.9
4/3/2004,0.015910938,11.4,15.1,-5.4,4.3,-5.4,-1.8,-99.9
4/4/2004,0.020967631,11.5,15.1,-6.2,1.2,-7.8,-3.8,-99.9
4/5/2004,0.04352717,11.6,15.1,-1.8,8.1,-6.8,0.4,-99.9
4/6/2004,0.049420087,12.2,15.8,-1,5.3,-2.1,0.9,-99.9
4/7/2004,0.045215387,12.5,16.1,-3.6,4,-3.9,-0.4,-99.9
4/8/2004,0.033880702,12.9,16.5,-2.2,2.3,-2.8,-0.9,-99.9
4/9/2004,0.040581876,13.2,16.8,-1.6,8.3,-4,0.3,-99.9
4/10/2004,0.025852222,14.2,18,-9.7,-0.1,-9.7,-4.7,-99.9
4/11/2004,0.020103951,14.6,18.4,-13.3,-4.9,-13.9,-9.5,-99.9
4/12/2004,0.014461475,15,18.8,-10.5,1,-18.9,-7.9,-99.9
4/13/2004,0.023219679,15,18.8,-3.3,0.7,-14.4,-4.9,-99.9
4/14/2004,0.063357004,15,18.8,1,9.9,-4.8,1.5,-99.9
4/15/2004,0.072426716,15,18.8,-2.9,9.5,-2.9,3.2,-99.9
4/16/2004,0.091168857,15,18.9,2.3,10.8,-3.6,2.5,-99.9
4/17/2004,0.200450424,15,18.9,2.7,11.8,-1.8,4.4,-99.9
4/18/2004,0.209476286,14.9,18.9,0.5,13.5,-2.9,5.9,-99.9
4/19/2004,0.092714856,15,19,-3.6,2.2,-3.9,-1.9,-99.9
4/20/2004,0.076530637,15,19,-4.1,7.8,-10.2,-0.1,-99.9
4/21/2004,0.053466234,15.2,19.3,-4.6,2.9,-5.6,-2.9,-99.9
4/22/2004,0.030247067,15.9,20,-6.7,0.8,-6.8,-3.8,-99.9
4/23/2004,0.022076993,16.3,20.4,-7.5,-2.2,-8.6,-6.1,-99.9
4/24/2004,0.022076993,16.5,20.6,-7.3,-2.9,-8,-6.2,-99.9
4/25/2004,0.02487594,16.8,20.8,-4.5,3.9,-12.6,-2.7,-99.9
4/26/2004,0.053466234,16.9,20.9,-1,3.4,-5,-1,-99.9
4/27/2004,0.154523647,16.8,20.9,2.9,10.5,-2.6,3.4,-99.9
4/28/2004,0.176245171,16.7,20.9,3.4,13,2.4,6.4,-99.9
4/29/2004,0.124389329,16.6,20.9,-2.8,12.4,-2.8,4.9,-99.9
4/30/2004,0.065452733,16.6,21,-8.3,0.2,-8.6,-4.6,-99.9
5/1/2004,0.0523444,16.8,21.2,-10.6,-2.9,-10.6,-6.2,-99.9
5/2/2004,0.109582026,16.8,21.2,-1.3,5.4,-13.3,-1.7,-99.9
5/3/2004,0.311679645,16.8,21.2,4,10.7,-1.3,4.9,-99.9
5/4/2004,0.54274678,16.7,21.2,4.8,14.7,2.9,7.4,-99.9
5/5/2004,0.881164783,16.2,21.2,6.9,14.5,-0.8,8.6,-99.9
5/6/2004,1.470027077,15.5,21.2,8.1,17,6.1,11,-99.9
5/7/2004,1.921896224,14.7,21.2,7,17.6,6.7,10.9,-99.9
5/8/2004,1.888979098,14.1,21.2,6.4,16.7,0.2,9.6,-99.9
5/9/2004,1.912886092,13.6,21.2,7.2,15.9,0.7,8.2,-99.9
5/10/2004,2.075697801,12.9,21.2,5.7,15.5,-1.3,7.3,-99.9
5/11/2004,2.336192506,12.4,21.2,5.4,14.4,-2.8,7.1,-99.9
5/12/2004,1.572420054,11.7,21.4,-3.3,15,-3.6,6,-99.9
5/13/2004,1.161689953,12.5,22.2,-5.8,3.7,-5.8,-2.2,-99.9
5/14/2004,1.061045834,13,22.6,-5.4,2.1,-6.9,-3.8,-99.9
5/15/2004,1.088952885,13.1,22.6,-1.1,4.5,-5.3,-0.7,-99.9
5/16/2004,1.293803505,13.1,22.6,-2,10.8,-2.2,2.6,-99.9
5/17/2004,1.223241111,13,22.6,1.5,12.6,-2.5,5.3,-99.9
5/18/2004,1.431706985,12.8,22.6,2.7,11.4,-2.5,4.4,-99.9
5/19/2004,1.949074164,12.3,22.6,7.6,14.5,-2.2,7.6,-99.9
5/20/2004,2.085144868,11.2,22.6,2.2,17.3,-0.3,8.9,-99.9
5/21/2004,2.028835373,10.6,22.6,1.2,11.6,-1.1,5.2,-99.9
5/22/2004,2.187466704,9.8,22.6,-0.9,14.7,-0.9,8.1,-99.9
5/23/2004,2.190710157,9.6,22.7,0.6,9.5,-1.7,3,-99.9
5/24/2004,2.42472009,8.9,22.7,3.8,13.5,0.2,6.3,-99.9
5/25/2004,2.643578733,8,22.8,-1,11.7,-1,5.2,-99.9
5/26/2004,2.543380192,7.6,22.8,-0.6,7.7,-1.6,1.2,-99.9
5/27/2004,2.757142068,6.3,22.8,3.5,11.3,-0.4,5.3,-99.9
5/28/2004,3.122557903,5,22.8,4.7,13.3,2.2,6.4,-99.9
5/29/2004,3.247539329,4,22.8,6.3,17.6,1.3,9.2,-99.9
5/30/2004,2.854532349,4.3,23.2,-5.1,9.1,-5.1,1.9,-99.9
5/31/2004,2.607535562,4.3,23.2,-2.7,1.9,-6.7,-2.7,-99.9
6/1/2004,2.322742241,4.3,23.2,1.6,8.7,-3.3,2.8,-99.9
6/2/2004,2.239696979,4.3,23.2,-1,12,-1.6,5.9,-99.9
6/3/2004,2.256165756,4.3,23.2,-1,12.7,-2.7,5,-99.9
6/4/2004,2.210229458,4,23.2,0.9,17.8,-1.3,8,-99.9
6/5/2004,2.246276088,3.5,23.2,3.1,19.2,0.3,9.2,-99.9
6/6/2004,2.30933702,3,23.2,1.4,16.1,0.4,8.4,-99.9
6/7/2004,2.206969262,1.9,23.2,5.5,21.3,1,13.2,-99.9
6/8/2004,2.104113726,1.4,23.2,10.1,23,6.2,15.2,-99.9
6/9/2004,2.596778567,0.6,23.2,4.5,19.7,4.5,12,-99.9
6/10/2004,2.501124372,0.2,23.4,4.5,16.6,1.7,8.9,-99.9
6/11/2004,2.216758228,0,23.6,-1.6,12.7,-1.6,5.5,-99.9
6/12/2004,2.113635555,0,23.6,-0.5,10.7,-1.7,4,-99.9
6/13/2004,1.701164788,0,23.6,4.6,12.5,-0.3,4.7,-99.9
6/14/2004,1.258235277,0,23.6,2.9,16,2.9,9.5,-99.9
6/15/2004,1.050424161,0,23.6,9.5,20.6,1,11.4,-99.9
6/16/2004,1.37904293,0,23.7,4.3,20,4.3,11.6,-99.9
6/17/2004,1.921896224,0,24,1.7,7.5,1.1,4,-99.9
6/18/2004,3.227188387,0,24.6,2.3,14,-0.9,4.9,-99.9
6/19/2004,2.487130322,0,25.2,2.9,6,1,2.9,-99.9
6/20/2004,1.522036535,0,25.3,1.2,16,-0.6,6.8,-99.9
6/21/2004,2.013352419,0,25.5,2.9,15.4,-0.3,6.5,-99.9
6/22/2004,1.656676358,0,26,-2.4,3.7,-2.4,1,-99.9
6/23/2004,0.985948893,0,26,-1.5,14.4,-4.7,4.4,-99.9
6/24/2004,0.767167703,0,26,3.2,16.5,-2.2,7.1,-99.9
6/25/2004,0.770702532,0,26,1.7,15.5,1.7,8.5,-99.9
6/26/2004,0.937653044,0,26.1,2.9,14.6,0.4,5.9,-99.9
6/27/2004,1.058916537,0,26.2,0.4,12.1,0.4,6.4,-99.9
6/28/2004,1.093283626,0,26.5,0.9,11.5,-0.8,4.3,-99.9
6/29/2004,0.817516243,0,26.5,2.1,16,0.2,7.4,-99.9
6/30/2004,2.013352419,0,26.8,4,16,0.3,7.6,-99.9
7/1/2004,1.106335744,0,27.3,4.1,12.1,1.3,5,-99.9
7/2/2004,0.557297665,0,27.3,1.2,15.6,1.2,8.4,-99.9
7/3/2004,0.391189025,0,27.3,2.1,20.2,0,10.5,-99.9
7/4/2004,0.331933408,0,27.3,1.3,19.1,-1,9.7,-99.9
7/5/2004,0.361996038,0,27.3,5.5,18,-0.2,9.5,-99.9
7/6/2004,0.413025516,0,27.4,3.9,14.6,1.2,7.4,-99.9
7/7/2004,0.237055386,0,27.4,10.1,17.9,0.7,9.5,-99.9
7/8/2004,0.175494332,0,27.4,5.7,21,5.7,13.5,-99.9
7/9/2004,0.158735646,0,27.5,3.4,21.5,3,12.8,-99.9
7/10/2004,0.149009626,0,27.5,7.3,21,2,11.5,-99.9
7/11/2004,0.122554821,0,27.5,3.5,20.4,3.5,10.9,-99.9
7/12/2004,0.09427596,0,27.5,5,23.5,3,12.9,-99.9
7/13/2004,0.080289199,0,27.5,6.7,22.6,3.9,14.5,-99.9
7/14/2004,0.068888517,0,27.5,13.4,23.2,5.1,15,-99.9
7/15/2004,0.075607303,0,27.6,7.7,23.4,6.3,14.2,-99.9
7/16/2004,0.606909012,0,27.6,8.4,20.3,4.9,12.1,-99.9
7/17/2004,1.454628549,0,28.7,5,17.9,4.9,9.1,-99.9
7/18/2004,0.772473484,0,29.9,3.5,15.3,3.5,8.3,-99.9
7/19/2004,0.36772967,0,29.9,11.3,19.3,3.4,11.5,-99.9
7/20/2004,0.248828003,0,29.9,9.1,20.2,6.3,12.7,-99.9
7/21/2004,0.129988017,0,29.9,11.6,18.3,8.2,12.6,-99.9
7/22/2004,0.29317103,0,29.9,4.9,20.5,4.9,12.7,-99.9
7/23/2004,1.393972986,0,30.7,6.1,17.7,4,8.1,-99.9
7/24/2004,0.973742888,0,31.2,3,9.3,1.9,5.8,-99.9
7/25/2004,0.402021238,0,31.3,0,10.6,0,4.6,-99.9
7/26/2004,0.211142175,0,31.3,0.7,14.6,-0.2,6.8,-99.9
7/27/2004,0.153134237,0,31.3,7.7,18.1,-0.6,9.2,-99.9
7/28/2004,0.152442261,0,31.3,6.8,15.5,5.5,9.6,-99.9
7/29/2004,0.163732919,0,31.3,1.4,15,1.4,7.9,-99.9
7/30/2004,0.109582026,0,31.3,3.5,18.4,0.9,9.7,-99.9
7/31/2004,0.08862565,0,31.3,9.2,18.1,2,10.2,-99.9
8/1/2004,0.069325174,0,31.3,5.2,20.8,4.3,12.4,-99.9
8/2/2004,0.070203296,0,31.3,4.9,23.7,3.5,12.8,-99.9
8/3/2004,0.068020003,0,31.3,10.4,21,5.5,11.9,-99.9
8/4/2004,0.049420087,0,31.3,5.6,19.7,5.6,12.6,-99.9
8/5/2004,0.082691553,0,31.4,5.2,20,1.6,11,-99.9
8/6/2004,0.091168857,0,31.6,8.4,18.8,5,10.9,-99.9
8/7/2004,0.050142027,0,31.7,8.5,19.3,6.9,12,-99.9
8/8/2004,0.042203365,0,31.7,3.2,21.2,2.9,11.4,-99.9
8/9/2004,0.03806383,0,31.7,3,18.1,0.7,8.4,-99.9
8/10/2004,0.028912849,0,31.7,3.7,20.1,-1,9.8,-99.9
8/11/2004,0.038997134,0,31.7,4.9,20.7,2.1,10.5,-99.9
8/12/2004,0.052716811,0,31.9,-0.5,13.1,-0.5,6.7,-99.9
8/13/2004,0.039311154,0,31.9,-0.6,14.3,-1.6,5.7,-99.9
8/14/2004,0.03302091,0,31.9,0.4,16.4,-0.6,7.1,-99.9
8/15/2004,0.0291769,0,31.9,1.4,16.8,-1.1,7.9,-99.9
8/16/2004,0.02838892,0,31.9,1.8,17.4,0.7,8.2,-99.9
8/17/2004,0.025117967,0,31.9,2.7,17.4,0.4,8.7,-99.9
8/18/2004,0.08124521,0,31.9,7.9,17,2.8,10,-99.9
8/19/2004,0.902351716,0,32.7,3.7,11.8,3.7,6.6,-99.9
8/20/2004,0.298246409,0,33.1,0.3,10.8,0.3,5,-99.9
8/21/2004,0.239742777,0,33.4,4.3,11.9,-0.4,4.5,-99.9
8/22/2004,0.117145935,0,33.4,6.4,13.5,4.5,7.9,-99.9
8/23/2004,0.086124101,0,33.4,7.6,16.5,3.4,8.7,-99.9
8/24/2004,0.05160417,0,33.4,7.7,12.7,7.1,9.1,-99.9
8/25/2004,0.038684575,0,33.4,5.4,14.6,5.4,9,-99.9
8/26/2004,0.033592679,0,33.4,8.5,14.6,4.7,9.6,-99.9
8/27/2004,0.059283751,0,33.5,3,13.8,1.2,7.7,-99.9
8/28/2004,0.070644763,0,33.6,-1,6.8,-1.5,2.2,-99.9
8/29/2004,0.042203365,0,33.6,6.8,13.7,-3.8,5.1,-99.9
8/30/2004,0.032173916,0,33.6,-0.2,17.2,-0.4,8.2,-99.9
8/31/2004,0.027870543,0,33.6,1.8,17.8,-0.9,8.1,-99.9
9/1/2004,0.026598781,0,33.6,0.6,17.2,0.1,6.9,-99.9
9/2/2004,0.020967631,0,33.6,6,18.1,-1,8.3,-99.9
9/3/2004,0.018847778,0,33.6,9.3,19.1,4.9,12.1,-99.9
9/4/2004,0.025117967,0,33.6,8.3,17.9,4.9,11.7,-99.9
9/5/2004,0.076994744,0,34,0.1,11.7,0.1,4.9,-99.9
9/6/2004,0.067588141,0,34.3,4.3,5.4,-1.5,1.6,-99.9
9/7/2004,0.033880702,0,34.3,-1,13.8,-1.1,5.4,-99.9
9/8/2004,0.0239214,0,34.3,0.9,16.5,-2,6.7,-99.9
9/9/2004,0.019053878,0,34.3,5,16.5,-0.1,8.2,-99.9
9/10/2004,0.024635272,0,34.3,3.1,17.2,2.1,9.3,-99.9
9/11/2004,0.032173916,0,34.5,6.4,12.8,2.7,7.5,-99.9
9/12/2004,0.021629265,0,34.5,2.2,17.6,2.2,9.9,-99.9
9/13/2004,0.01535797,0,34.5,10,17.2,1.9,10.1,-99.9
9/14/2004,0.013766711,0,34.5,4.4,16.8,3.1,10.3,-99.9
9/15/2004,0.021852464,0,34.5,-1.8,15,-1.8,7.5,-99.9
9/16/2004,0.021852464,0,34.5,6.6,11.2,-2,4.7,-99.9
9/17/2004,0.017836726,0,34.5,6.6,14.9,6.1,9.9,-99.9
9/18/2004,0.014638273,0,34.5,7.6,18.6,2,11,-99.9
9/19/2004,0.012761585,0,34.5,9,18.9,5,12.7,-99.9
9/20/2004,0.016857876,0,34.5,6,17.8,4.3,9,-99.9
9/21/2004,0.066302124,0,34.7,-0.2,15.1,-0.2,7.6,-99.9
9/22/2004,0.089637923,0.8,35.5,-4.1,0.6,-4.1,-1.9,-99.9
9/23/2004,0.101762033,0.8,35.5,-99.9,-99.9,-99.9,-99.9,-99.9
9/24/2004,0.107878002,0.9,35.6,-99.9,-99.9,-99.9,-99.9,-99.9
9/25/2004,0.110153481,0.6,35.6,-1.3,10.3,-1.3,3.6,-219
9/26/2004,0.091168857,0,35.6,0.5,11,-2,3,-220
9/27/2004,0.07153252,0,35.6,0,12.9,-0.4,5.4,-220
9/28/2004,0.06170885,0,35.7,2,9.6,-0.9,3.7,-220
9/29/2004,0.069325174,0,35.7,4.8,11.5,-0.3,5,-220
9/30/2004,0.208646212,0,36.1,2.3,11.6,1.1,5.4,-99.9
10/1/2004,,0,0,0.7,2.9,0.7,1.6,0
10/2/2004,,0,0.2,2,2.8,0.3,1.4,0
10/3/2004,,0,0.2,4,8.8,1.5,4.2,0
10/4/2004,,0,0.2,-0.9,9.3,-1,3.5,1
10/5/2004,,0,0.2,-1.3,11.1,-2.3,2,1
10/6/2004,,0,0.3,1.5,10.9,-1.6,2.9,0
10/7/2004,,0.5,0.8,1.6,5.6,1.1,2,1
10/8/2004,,0.4,0.8,4.8,8.9,1.2,5,1
10/9/2004,,0.2,0.8,-0.2,12,-1.3,4.7,1
10/10/2004,,0,0.8,-0.2,13.9,-0.8,5.8,1
10/11/2004,,0,0.8,-1.6,11.4,-1.6,4.4,1
10/12/2004,,0,0.9,-1.5,6.4,-1.9,1,1
10/13/2004,,0.3,1.2,-0.6,10.5,-2.4,3.9,3
10/14/2004,,0.7,1.6,-1.7,2.3,-3.6,-1.7,6
10/15/2004,,0.7,1.6,3.1,5.7,-2.3,2.3,4
10/16/2004,,0.7,1.6,3.5,8.2,1.9,4.4,2
10/17/2004,,0.7,1.6,6,11.7,3,6.8,2
10/18/2004,,0.7,1.6,1,12.1,0.7,5,1
10/19/2004,,0.9,1.9,-0.1,4.3,-0.7,1,2
10/20/2004,,0.9,2,2,7.8,-0.9,2.4,2
10/21/2004,,0.9,2,5.9,10.7,-1.5,5.1,1
10/22/2004,,0.8,2,4.4,11.5,-0.4,5.8,1
10/23/2004,,0.9,2.1,-5.4,5.3,-6.1,-2,3
10/24/2004,,1,2.2,0.8,6.9,-5.5,1,2
10/25/2004,,1,2.2,-1.9,3,-2.4,-0.1,2
10/26/2004,,1,2.3,0,8.1,-4,0.6,2
10/27/2004,,1,2.3,1,8.7,-2.9,1.9,2
10/28/2004,,1.1,2.4,5.7,11.4,-1.1,4.4,2
10/29/2004,,1.1,2.4,-1.5,11.5,-2.4,4.8,2
10/30/2004,,1.2,2.5,-5.1,-1.4,-7.1,-5.2,5
10/31/2004,,1.2,2.6,-5,-0.9,-5.7,-4.3,4
11/1/2004,,1.1,2.7,-8.3,3.2,-8.3,-3.9,6
11/2/2004,,1.3,3,-18.4,-6.4,-18.4,-10.7,8
11/3/2004,,1.3,3.1,-7.2,4.5,-18.5,-5.2,7
11/4/2004,,1.3,3.1,-5.3,8.1,-8.2,-0.7,6
11/5/2004,0.051806401,1.4,3.2,2.3,7.3,-8.2,1.2,5
11/6/2004,0.051806401,1.4,3.2,3.5,7.7,1.5,4.1,5
11/7/2004,0.051806401,1.4,3.2,3.7,8.1,1.6,4.4,5
11/8/2004,0.051806401,1.3,3.2,-0.4,11.5,-1.2,4.4,4
11/9/2004,0.051806401,1.3,3.2,2,12,-0.7,3.9,4
11/10/2004,0.051806401,1.3,3.3,-0.7,8.5,-1.4,2.5,4
11/11/2004,0.051806401,1.6,3.7,-6.9,-0.4,-7.7,-3.1,8
11/12/2004,0.051806401,1.7,3.8,-5,3.6,-9,-2.5,8
11/13/2004,0.051806401,1.8,3.9,-4.4,-1.1,-5.5,-3.3,9
11/14/2004,0.051806401,1.8,3.9,-7.7,2.6,-8.4,-4.5,8
11/15/2004,0.051806401,1.8,3.9,-8,1.7,-8,-3.4,8
11/16/2004,0.051806401,1.9,3.9,2.4,6.7,-8.7,-0.7,7
11/17/2004,0.051806401,1.9,3.9,-2.7,9.3,-3.3,1.6,8
11/18/2004,0.051806401,1.9,3.9,-2,6.1,-3.4,0,8
11/19/2004,0.051806401,1.9,3.9,-1,4.9,-2.4,0.1,8
11/20/2004,0.051806401,1.9,3.9,-7,2.4,-7,-2.3,8
11/21/2004,0.051806401,2,4.1,-9.8,-7,-10.1,-9.1,11
11/22/2004,0.051806401,2.1,4.2,-4,1.5,-13,-5,12
11/23/2004,0.051806401,2.1,4.2,-6.1,0.3,-9.8,-3.5,11
11/24/2004,0.051806401,2.2,4.3,-9,-1.4,-9.1,-5.7,11
11/25/2004,0.051806401,2.4,4.5,-5,-4.9,-9.7,-7.6,13
11/26/2004,0.051806401,2.5,4.6,-2.3,-0.5,-5,-2.6,12
11/27/2004,0.051806401,2.6,4.8,-11.5,-2.3,-11.5,-6.4,15
11/28/2004,0.051806401,3.2,5.4,-9.7,-6,-11.8,-9.3,21
11/29/2004,0.051806401,3.4,5.7,-18.5,-9.1,-18.5,-13.7,25
11/30/2004,0.051806401,3.5,5.8,-13.8,-11.1,-23.1,-16.7,23
12/1/2004,0.051806401,3.6,5.9,-8.4,-5.7,-14.7,-9,21
12/2/2004,0.051806401,3.6,5.9,-11.6,-6.9,-13.1,-10.5,20
12/3/2004,0.051806401,3.8,6,-8.2,-5.8,-12.9,-8.8,19
12/4/2004,0.051806401,3.8,6,-1.6,1.1,-9.3,-4.2,19
12/5/2004,0.051806401,3.7,6,-5.4,4.1,-8.3,-2.4,18
12/6/2004,0.051806401,3.8,6.1,-8.1,-4.1,-8.3,-6,18
