"x","y","site_id","water_year","diff_peak","diff_sm50","perd_peak","perd_sm50","perpast_peak","perpast_sm50","anom_peak","anom_sm50"
326.05,68.98,987,2021,-2.74,NA,-25.0457038391225,NA,74.9542961608775,NA,-0.580134772897601,NA
331.83,NA,958,2021,-4.52,NA,-62.6038781163435,NA,37.3961218836565,NA,-1.68507673415049,NA
343.81,54.66,964,2021,6.35,NA,36.3896848137536,NA,136.389684813754,NA,1.03058074306852,NA
342.08,49.47,955,2021,-1.13,NA,-9.23957481602617,NA,90.7604251839738,NA,-0.452761278961045,NA
337.1,27.52,967,2021,-1.19,NA,-14.5299145299145,NA,85.4700854700855,NA,-0.516854211356567,NA
365.27,NA,963,2021,-0.859999999999999,NA,-21.1822660098522,NA,78.8177339901478,NA,-0.875507354389996,NA
330.29,63.08,1003,2021,-0.0500000000000007,NA,-0.380228136882135,NA,99.6197718631179,NA,-0.0130269894844839,NA
365.95,NA,952,2021,-7.02222222222222,-222.444444444444,-100,-93.6827328029948,0,6.31726719700515,-3.29771049328712,-4.55151958193529
345.46,49.38,956,2021,-11.24,NA,-28.5714285714286,NA,71.4285714285714,NA,-0.884371291872716,NA
335.19,48.26,966,2021,-0.87,NA,-17.864476386037,NA,82.135523613963,NA,-0.50528854862535,NA
341.15,52.92,959,2021,-1.28,NA,-7.67386091127098,NA,92.326139088729,NA,-0.211034887584963,NA
344.41,46.94,954,2021,-15.53,NA,-31.2286346269857,NA,68.7713653730143,NA,-0.913023895838186,NA
329.7,61.33,1062,2021,2.91666666666667,NA,22.1238938053097,NA,122.12389380531,NA,1.03057493818055,NA
324.31,NA,1182,2021,-2.99,NA,-41.5855354659249,NA,58.4144645340751,NA,-1.07963424635268,NA
354.87,NA,947,2021,-1.07,NA,-21.9712525667351,NA,78.0287474332649,NA,-0.605757427084417,NA
358.2,NA,948,2021,-0.58,NA,-10.0346020761246,NA,89.9653979238754,NA,-0.318337662425056,NA
362.61,NA,951,2021,-0.28,NA,-6.39269406392695,NA,93.607305936073,NA,-0.21520076164613,NA
360.22,NA,949,2021,-0.89,NA,-16.8241965973535,NA,83.1758034026465,NA,-0.535189442311672,NA
358.52,NA,950,2021,-0.55,NA,-7.09677419354838,NA,92.9032258064516,NA,-0.300223389763301,NA
341.99,42.84,946,2021,-2.15,NA,-8.61723446893787,NA,91.3827655310621,NA,-0.289291483744794,NA
344.86,44.25,1103,2021,-6.47,NA,-17.5006762239654,NA,82.4993237760346,NA,-0.650617002447658,NA
463.26,62.84,1001,2021,-14.82,NA,-34.4490934449094,NA,65.5509065550906,NA,-1.05529933031338,NA
