"site_water_day","site_6614800","site_6746095","site_7083000","site_9022000","site_9024000","site_9025000","site_9025300","site_9026500","site_9032000","site_9032100","site_9034900","site_9035500","site_9035700","site_9035900","site_9046490","site_9047700","site_9051050","site_9063900","site_9064000","site_9065100","site_9065500","site_9066000","site_9066200","site_9066300","site_9067000","site_9067200","site_9074000","site_9132995","site_9134000","site_9306242","site_9358550"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.21,0.43,6.97,1.04,0.72,0.63,0,0.23,0.23,0.94,0.66,0.3,0.14,0.1,1.4,0,0.15,1.05,0.89,0,0.87,0,0.92,0.2,0.47,1.11,0.73,0,0,0,0
10,8.11,9.82,7.7,3.52,2.59,1.61,0.01,1.18,1.8,3.66,2.07,1.88,1.68,2.26,1.47,0.39,1.92,2.91,2.41,0,2.25,0.77,1.54,0.39,0.7,1.63,0.94,0,0,0,0
11,17.21,16.08,8.47,3.83,2.85,2.04,0.01,1.4,2.04,3.88,2.82,2.77,2.24,2.04,1.73,0.79,1.9,2.19,2.4,0,2.61,0.5,1.59,0.59,0.56,1.96,1.04,0,0,0,0
12,15.21,14.71,7.43,2.75,2.33,1.45,0.01,0.97,1.65,4.63,1.72,1.15,0.68,0.71,1.19,0,0.53,0.53,1.26,0,1.65,0,2.03,0.39,0.18,1.2,0.68,0,0,0,0
13,17.42,14.93,7.41,10.92,8.13,5.94,0.24,3.57,8.2,18.17,6.34,5.5,3.8,3.09,5.95,3.1,4.47,0.43,0.88,0,3.09,0.89,2.47,0.2,0,0.59,0.3,0,0,0,0
14,16.42,12.97,5.74,8.7,7.03,4.71,0.03,2.04,7.87,19,5,3.8,2.21,1.87,5.79,0.72,2.13,0.25,0.37,0,1.85,0,1.75,0,0,0.08,0.07,0,0,0,0
15,12.32,7.74,1.31,4.85,3.87,2.32,0.02,0.79,2.15,11.7,2.59,1.14,0.53,0.46,1.97,0,0.72,0,0,0,0,0,0.39,0,0,0,0,0,0,0,0
16,7.32,1.34,0,2.17,2.12,0.5,0,0.23,0,2.47,0.82,0.31,0.14,0.2,0.86,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,4.21,0.15,0,0.96,1.33,0,0,0,0,0.33,0.21,0.08,0.04,0.05,0.43,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2.21,0.08,0,0.94,1.23,0,0,0,0,0.2,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,6.21,4.98,0,2.45,2.37,0.83,0,0.23,1.24,5,0.9,0.46,0.21,0.1,2.3,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89
20,5.32,3.98,0,2.35,2.31,0.6,0,0.23,0.85,4.32,0.9,0.41,0.19,0.1,1.71,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39
21,3.21,0.33,0,1.27,1.45,0,0,0,0,1.04,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91
22,0.11,0,0.4,0.59,0.9,0,0,0,0,0.23,0,0,0,0,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26
