"x","y","site_id"
548.89,211.88,1001
382.43,212.17,1003
400.89,180.83,1035
430.57,181.35,1055
381.69,209.99,1062
395.35,186.2,1070
381.66,142.15,1072
431.15,193.16,1073
384.18,158.8,1089
397.9,173.47,1091
396.9,203.09,1092
459.07,160.57,1093
409.29,144.44,1094
455.73,174.62,1096
400.67,188.6,1103
299.55,58.64,1175
374.94,80.34,1182
456.42,110.14,1189
410.1,117.56,1260
384.01,175.03,1267
426.09,144.61,1268
536.71,205.78,1270
457.88,121.84,1275
520.31,197.05,1285
335.78,120.94,429
398.04,174.2,641
343.63,153.4,785
397.07,186.83,946
413.2,110.58,947
417.37,107.7,948
419.9,110.54,949
417.78,115.05,950
422.89,112.57,951
427.07,109.24,952
399.71,176.85,953
400.11,191.97,954
397.19,195.13,955
401.41,195.01,956
384.36,73.85,958
396.03,199.45,959
426.22,130.86,963
399.36,201.63,964
388.56,193.62,966
390.96,167.65,967
377.13,219.55,987
