x,y,site_id,date,water_year,water_day,swe,year,peak_swe,sm50_swe,peak_date,peak_day,peak_met,sm50_day,sm50_date,sm50_met,apr1_swe,ptile_swe,wy_n,elev_ft,latitude,longitude,site_name,sntl_id,d_peak,d_sm50,d_apr1,d_swe,apr1_x,apr1_y,peak_x,peak_y,sm50_x,sm50_y
548.89,211.88,1001,2021-03-22,2021,173,40.8,2021,40.8,20.4,2021-03-22,173,TBD,173,2021-03-22,TBD,40.8,NA,11,850,58.19,-133.83,Long Lake,SNTL:1001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
382.43,212.17,1003,2021-03-22,2021,173,14.2,2021,14.5,7.25,2021-03-19,170,2021-03-19,173,2021-03-22,TBD,14.2,0.8181818181818182,22,1320,59.74,-151.25,Mcneil Canyon,SNTL:1003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400.89,180.83,1035,2021-03-22,2021,173,7.5,2021,7.6,3.8,2021-03-19,170,2021-03-19,173,2021-03-22,TBD,7.5,NA,9,2100,61.38,-149,Moraine,SNTL:1035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430.57,181.35,1055,2021-03-22,2021,173,19.2,2021,19.2,9.6,2021-03-22,173,TBD,173,2021-03-22,TBD,19.2,NA,7,1750,61.19,-145.65,Upper Tsaina River,SNTL:1055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
381.69,209.99,1062,2021-03-22,2021,173,17.3,2021,17.4,8.7,2021-03-21,172,2021-03-21,173,2021-03-22,TBD,17.3,NA,19,1653,59.86,-151.32,Anchor River Divide,SNTL:1062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
395.35,186.2,1070,2021-03-22,2021,173,12.4,2021,12.4,6.2,2021-03-22,173,TBD,173,2021-03-22,TBD,12.4,NA,5,2080,61.11,-149.67,Anchorage Hillside,SNTL:1070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
381.66,142.15,1072,2021-03-22,2021,173,7.5,2021,7.5,3.75,2021-03-22,173,TBD,173,2021-03-22,TBD,7.5,NA,NA,1550,63.54,-150.99,Kantishna,SNTL:1072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
431.15,193.16,1073,2021-03-22,2021,173,25,2021,25.7,12.85,2021-03-19,170,2021-03-19,173,2021-03-22,TBD,25,NA,5,1405,60.55,-145.75,Mt. Eyak,SNTL:1073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
384.18,158.8,1089,2021-03-22,2021,173,14.5,2021,14.6,7.3,2021-03-19,170,2021-03-19,173,2021-03-22,TBD,14.5,NA,4,850,62.63,-150.78,Tokositna Valley,SNTL:1089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
397.9,173.47,1091,2021-03-22,2021,173,12.8,2021,12.8,6.4,2021-03-22,173,TBD,173,2021-03-22,TBD,12.8,NA,NA,3550,61.79,-149.28,Independence Mine,SNTL:1091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
396.9,203.09,1092,2021-03-22,2021,173,20.8,2021,20.8,10.4,2021-03-22,173,TBD,173,2021-03-22,TBD,20.8,NA,NA,400,60.19,-149.62,Exit Glacier,SNTL:1092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
459.07,160.57,1093,2021-03-22,2021,173,3.3,2021,3.3,1.65,2021-03-22,173,TBD,173,2021-03-22,TBD,3.3,NA,2,3320,62.07,-142.05,Chisana,SNTL:1093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
