water_year,year,site_id,peak_swe,sm50_swe,peak_date,peak_day,peak_met,sm50_day,sm50_date,sm50_met,apr1_swe,ptile,date,water_day,swe,wy_n,text_peak,text_sm50,text_today,text_ptile,elev_ft,latitude,longitude,site_name,sntl_id,d_swe,id,apr1_x,apr1_y,apr1_met,peak_x,peak_y,sm50_x,sm50_y
2021,2021,1040,9.4,4.7,2021-03-19,170,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,9.3,8,NA,TBD,9.3,no data,9480,39.6,-106.54,Mccoy Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1041,8.1,4.05,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,8.1,7,NA,TBD,8.1,no data,8500,39.6,-106.51,Beaver Ck Village,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1042,13.7,6.85,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,13.7,NA,NA,TBD,13.7,no data,9560,40.2,-105.6,Wild Basin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1043,10,5,2021-03-11,162,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,9.4,7,NA,TBD,9.4,no data,4680,48.86,-118.4,Sentinel Butte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1044,1.6,0.8,2021-03-11,162,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,0.1,7,NA,TBD,0.1,no data,3240,43.23,-122.43,Toketee Airstrip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1045,5.5,2.75,2021-03-19,170,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,5.4,7,NA,TBD,5.4,no data,8330,41.23,-105.38,Crow Creek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1046,18.2,9.1,2021-03-19,170,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,18,7,NA,TBD,18,no data,9574,41.24,-106.23,Cinnabar Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1047,21.7,10.85,2021-03-19,170,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,21.4,6,NA,TBD,21.4,no data,8915,41.07,-106.94,Little Snake River,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1048,2.7,1.35,2021-02-21,144,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,0.1,7,NA,TBD,0.1,no data,9240,33.01,-107.87,Mcknight Cabin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1049,23.8,11.9,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,23.8,7,NA,TBD,23.8,no data,8017,38.68,-119.96,Forestdale Creek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1050,14.5,7.25,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,14.5,7,NA,TBD,14.5,no data,8557,38.84,-119.89,Horse Meadow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1051,17.1,8.55,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,17.1,7,NA,TBD,17.1,no data,8129,38.72,-119.89,Burnside Lake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1052,13.5,6.75,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,13.5,7,NA,TBD,13.5,no data,9313,38.4,-119.54,Summit Meadow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1053,5.3,2.65,2021-03-01,152,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,0.3,7,NA,TBD,0.3,no data,3520,48.72,-116.46,Myrtle Creek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1054,14.1,7.05,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,14.1,7,NA,TBD,14.1,no data,6779,40.99,-111.82,Farmington Lower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1055,19.2,9.6,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,19.2,7,NA,TBD,19.2,no data,1750,61.19,-145.65,Upper Tsaina River,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1056,12.9,6.45,2021-03-17,168,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,12.4,6,NA,TBD,12.4,no data,8215,41.36,-111.49,Lightning Ridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1057,3.9,1.95,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,3.9,6,NA,TBD,3.9,no data,11460,38.88,-105.07,Glen Cove,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1058,7.3,3.65,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,7.3,6,NA,TBD,7.3,no data,11620,37.47,-106.54,Grayback,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1059,5.5,2.75,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,5.5,6,NA,TBD,5.5,no data,10020,38.16,-106.6,Cochetopa Pass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1060,11.8,5.9,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,11.8,6,NA,TBD,11.8,no data,10720,37.5,-108.11,Sharkstooth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1061,9.5,4.75,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,9.5,6,NA,TBD,9.5,no data,9080,40.06,-107.01,Bear River,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1062,17.4,8.7,2021-03-21,172,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,17.3,19,NA,TBD,17.3,no data,1653,59.86,-151.32,Anchor River Divide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1065,5.3,2.65,2021-03-18,169,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,4.1,6,NA,TBD,4.1,no data,6763,37.5,-113.94,Gutz Peak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1066,8.2,4.1,2021-03-18,169,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,8.1,6,NA,TBD,8.1,no data,8322,37.4,-113.46,Gardner Peak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1067,20,10,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,20,6,NA,TBD,20,no data,8360,38.69,-120,Carson Pass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
