"Date","year","month","day","j","06714800","06715000","06716100","06716500","09019500","09022000","09024000","09025000","09025300","09026500","09032000","09032100","09033300","09034900","09035500","394308105413800"
"2012-01-01",2012,1,1,1,NA,0.224390060062643,0.21229431644934,0.188925484716157,NA,0.233907742981909,0.226573679134232,0.228200316664319,0.0395951614674581,0.162510371351588,0.110993722270742,0.293495351770985,NA,0.188925484716157,0.0403194632016189,NA
"2012-01-02",2012,1,2,2,NA,0.203592932544642,0.24356247158529,0.196636728990286,NA,0.227610226824704,0.227942704385798,0.231924654176645,0.0395951614674581,0.161936129756706,0.10863215371179,0.293495351770985,NA,0.178804476606363,0.0403194632016189,NA
"2012-01-03",2012,1,3,3,NA,0.24299801626296,0.235334009707408,0.198564540058818,NA,0.227610226824704,0.229311729637365,0.232940382589097,0.0395951614674581,0.155906593010446,0.107215212576419,0.293495351770985,NA,0.1720571378665,0.0403194632016189,NA
"2012-01-04",2012,1,4,4,NA,0.222200888744959,0.220522778327222,0.186355069958114,NA,0.233907742981909,0.229311729637365,0.235987567826454,0.0395951614674581,0.1541838682258,0.10863215371179,0.293495351770985,NA,0.168683468496569,0.0403194632016189,NA
"2012-01-05",2012,1,5,5,NA,0.218917131768432,0.227105547829527,0.188925484716157,NA,0.249201710792265,0.229311729637365,0.237003296238907,0.0395951614674581,0.1541838682258,0.10863215371179,0.293495351770985,NA,0.166996633811603,0.0403194632016189,NA
"2012-01-06",2012,1,6,6,NA,0.233146745333381,0.233688317331832,0.19984974743784,NA,0.233907742981909,0.230680754888931,0.240050481476264,0.0395951614674581,0.160500525769501,0.10863215371179,0.293495351770985,NA,0.165309799126638,0.0403194632016189,NA
"2012-01-07",2012,1,7,7,NA,0.198120004250431,0.233688317331832,0.206918388022458,NA,0.233907742981909,0.234103318017847,0.241066209888717,0.0395951614674581,0.161936129756706,0.107215212576419,0.289607996118389,NA,0.163622964441672,0.0403194632016189,NA
"2012-01-08",2012,1,8,8,NA,0.193741661615063,0.217231393576069,0.19984974743784,NA,0.227610226824704,0.233418805392064,0.241404786026201,0.0395951614674581,0.162510371351588,0.107215212576419,0.289607996118389,NA,0.1720571378665,0.0403194632016189,NA
"2012-01-09",2012,1,9,9,NA,0.164187848826324,0.202420162195883,0.185712466268603,NA,0.233907742981909,0.23478783064363,0.241404786026201,0.0395951614674581,0.162223250554147,0.107215212576419,0.285720640465793,NA,0.168683468496569,0.0403194632016189,NA
"2012-01-10",2012,1,10,10,NA,0.16199867750864,0.202420162195883,0.204347973264415,NA,0.232108452651279,0.237183624833871,0.240050481476264,0.0395951614674581,0.162223250554147,0.10863215371179,0.283776962639495,NA,0.165309799126638,0.0403194632016189,NA
"2012-01-11",2012,1,11,11,NA,0.154336577896745,0.200774469820306,0.188925484716157,NA,0.233907742981909,0.230680754888931,0.238019024651359,0.0395951614674581,0.155619472213005,0.113355290829694,0.283776962639495,NA,0.160249295071741,0.0403194632016189,NA
"2012-01-12",2012,1,12,12,NA,0.151052820920218,0.192546007942425,0.167719562962303,NA,0.223112000998128,0.233418805392064,0.23971190533878,0.0395951614674581,0.160500525769501,0.113355290829694,0.283776962639495,NA,0.155188791016843,0.11519846629034,NA
"2012-01-13",2012,1,13,13,NA,0.152147406579061,0.192546007942425,0.161293526067195,NA,0.227610226824704,0.225546910195557,0.238019024651359,0.0395951614674581,0.155332351415564,0.113355290829694,0.283776962639495,NA,0.151815121646912,0.0460793865161359,NA
"2012-01-14",2012,1,14,14,NA,0.165282434485166,0.18596323844012,0.154224885482577,NA,0.221312710667498,0.232049780140497,0.239034753063812,0.0395951614674581,0.157916438592533,0.113355290829694,0.283776962639495,NA,0.148441452276981,0.0414714478645223,NA
"2012-01-15",2012,1,15,15,NA,0.182795805026641,0.19912877744473,0.167076959272792,NA,0.218613775171553,0.22828496069869,0.238019024651359,0.0395951614674581,0.1541838682258,0.113355290829694,0.283776962639495,NA,0.155188791016843,0.0408954555330706,NA
"2012-01-16",2012,1,16,16,NA,0.189363318979694,0.233688317331832,0.180571636752518,NA,0.215015194510293,0.228969473324473,0.236326143963939,0.0395951614674581,0.152461143441154,0.113355290829694,0.285720640465793,NA,0.155188791016843,0.0414714478645223,NA
"2012-01-17",2012,1,17,17,NA,0.198120004250431,0.236979702082985,0.178001221994475,NA,0.212316259014348,0.23478783064363,0.23395611100155,0.0395951614674581,0.147005848289776,0.113355290829694,0.285720640465793,NA,0.153501956331878,0.0575992331451699,NA
"2012-01-18",2012,1,18,18,NA,0.2024983468858,0.246853856336442,0.194708917921754,NA,0.204219452526513,0.245055520030378,0.236664720101423,0.0395951614674581,0.1541838682258,0.113355290829694,0.285720640465793,NA,0.145067782907049,0.0403194632016189,NA
