x,y,site_id,date,water_year,water_day,swe,year,peak_swe,sm50_swe,peak_date,peak_day,peak_met,sm50_day,sm50_date,sm50_met,apr1_swe,ptile_swe,wy_n,elev_ft,latitude,longitude,site_name,sntl_id
86.54,62.82,599,2021-04-01,2021,183,19.4,2021,19.4,9.7,2021-04-01,183,2021-04-01,187,2021-04-05,TBD,19.4,0.55,20,5120,  46.36,-121.08,Lost Horse,SNTL:599
99.16,25.11,606,2021-04-01,2021,183,59.2,2021,59.8,29.9,2021-04-05,187,TBD,187,2021-04-05,TBD,59.2,0.5185185185185185,27,5980,  48.20,-120.92,Lyman Lake,SNTL:606
83.88,49.77,642,2021-04-01,2021,183,52,2021,55.3,27.65,2021-03-29,180,2021-03-29,187,2021-04-05,TBD,52,0.4642857142857143,28,5410,  46.91,-121.48,Morse Lake,SNTL:642
126.07,28.5,644,2021-04-01,2021,183,16.8,2021,17.1,8.55,2021-03-30,181,2021-03-30,187,2021-04-05,TBD,16.8,NA,19,5010,  48.36,-119.08,Moses Mtn,SNTL:644
79.25,51.4,679,2021-04-01,2021,183,92.2,2021,92.2,46.1,2021-04-02,184,2021-04-02,187,2021-04-05,TBD,92.2,0.8928571428571429,28,5130,  46.78,-121.75,Paradise,SNTL:679
100.5,20.13,681,2021-04-01,2021,183,56.3,2021,56.6,28.3,2021-04-02,184,2021-04-02,187,2021-04-05,TBD,56.3,0.8666666666666667,30,4600,  48.44,-120.92,Park Creek Ridge,SNTL:681
83.52,56.17,692,2021-04-01,2021,183,55.5,2021,55.7,27.85,2021-04-05,187,TBD,187,2021-04-05,TBD,55.5,0.6206896551724138,29,5800,  46.62,-121.39,Pigtail Peak,SNTL:692
102.95,30.8,699,2021-04-01,2021,183,17.8,2021,20.7,10.35,2021-03-15,166,2021-03-15,187,2021-04-05,TBD,17.8,0.6896551724137931,29,3590,  47.99,-120.57,Pope Ridge,SNTL:699
80.24,61.33,702,2021-04-01,2021,183,39.8,2021,39.9,19.95,2021-04-02,184,2021-04-02,187,2021-04-05,TBD,39.8,0.9259259259259259,27,4510,  46.35,-121.51,Potato Hill,SNTL:702
152.07,45.26,707,2021-04-01,2021,183,21.1,2021,21.4,10.7,2021-03-30,181,2021-03-30,187,2021-04-05,TBD,21.1,0.5652173913043478,23,4700,  47.88,-117.09,Quartz Peak,SNTL:707
103.47,19.14,711,2021-04-01,2021,183,40.4,2021,40.9,20.45,2021-04-05,187,TBD,187,2021-04-05,TBD,40.4,0.6428571428571429,28,4890,  48.52,-120.74,Rainy Pass,SNTL:711
116.9,19.55,728,2021-04-01,2021,183,10,2021,11.5,5.75,2021-03-05,156,2021-03-05,187,2021-04-05,TBD,10,0.6785714285714286,28,4460,  48.66,-119.84,Salmon Meadows,SNTL:728
68.56,61.66,748,2021-04-01,2021,183,50.9,2021,51.2,25.6,2021-04-02,184,2021-04-02,187,2021-04-05,TBD,50.9,NA,NA,3990,  46.19,-122.25,Sheep Canyon,SNTL:748
73.15,63.18,776,2021-04-01,2021,183,33.3,2021,33.3,16.65,2021-04-01,183,2021-04-01,187,2021-04-05,TBD,33.3,0.6296296296296297,27,3400,  46.18,-121.93,Spencer Meadow,SNTL:776
69.99,60.49,777,2021-04-01,2021,183,16.7,2021,18,9,2021-03-26,177,2021-03-26,187,2021-04-05,TBD,16.7,0.9230769230769231,26,3520,  46.26,-122.18,Spirit Lake,SNTL:777
87.95,42.83,788,2021-04-01,2021,183,48.6,2021,48.8,24.4,2021-04-05,187,TBD,187,2021-04-05,TBD,48.6,0.6428571428571429,28,3850,  47.27,-121.34,Stampede Pass,SNTL:788
94.23,33.81,791,2021-04-01,2021,183,55.6,2021,55.6,27.8,2021-04-01,183,2021-04-01,187,2021-04-05,TBD,55.6,0.9333333333333333,30,3950,  47.75,-121.09,Stevens Pass,SNTL:791
100.01,18,817,2021-04-01,2021,183,32.5,2021,34.5,17.25,2021-03-22,173,2021-03-22,187,2021-04-05,TBD,32.5,0.5454545454545454,22,4320,  48.53,-120.99,Thunder Basin,SNTL:817
132.51,79.76,824,2021-04-01,2021,183,35.5,2021,35.5,17.75,2021-04-01,183,2021-04-01,187,2021-04-05,TBD,35.5,0.6896551724137931,29,5530,  46.12,-117.85,Touchet,SNTL:824
102.79,47.69,832,2021-04-01,2021,183,11.7,2021,11.7,5.85,2021-04-01,183,2021-04-01,187,2021-04-05,TBD,11.7,0.7,30,5480,  47.23,-120.29,Trough,SNTL:832
101.97,46.13,841,2021-04-01,2021,183,10.4,2021,10.5,5.25,2021-03-23,174,2021-03-23,187,2021-04-05,TBD,10.4,0.27586206896551724,29,4330,  47.29,-120.37,Upper Wheeler,SNTL:841
83.78,55.79,863,2021-04-01,2021,183,32.5,2021,32.6,16.3,2021-04-05,187,TBD,187,2021-04-05,TBD,32.5,0.9310344827586207,29,4440,  46.64,-121.38,White Pass E.S.,SNTL:863
86.14,42.11,897,2021-04-01,2021,183,40.9,2021,41.3,20.65,2021-03-25,176,2021-03-25,187,2021-04-05,TBD,40.9,NA,17,3230,  47.28,-121.47,Meadows Pass,SNTL:897
85.17,40.05,898,2021-04-01,2021,183,13.7,2021,14.5,7.25,2021-03-26,177,2021-03-26,187,2021-04-05,TBD,13.7,NA,17,2920,  47.36,-121.57,Mount Gardner,SNTL:898
86.43,41.07,899,2021-04-01,2021,183,36.1,2021,36.8,18.4,2021-03-26,177,2021-03-26,187,2021-04-05,TBD,36.1,NA,17,2990,  47.33,-121.47,Tinkham Creek,SNTL:899
85.73,30.81,908,2021-04-01,2021,183,67.8,2021,68.6,34.3,2021-04-05,187,TBD,187,2021-04-05,TBD,67.8,NA,16,3500,  47.78,-121.70,Alpine Meadows,SNTL:908
90.73,7.89,909,2021-04-01,2021,183,41.3,2021,41.3,20.65,2021-04-01,183,2021-04-01,187,2021-04-05,TBD,41.3,NA,15,4030,  48.87,-121.79,Wells Creek,SNTL:909
88.02,11.14,910,2021-04-01,2021,183,52.1,2021,52.3,26.15,2021-03-29,180,2021-03-29,187,2021-04-05,TBD,52.1,NA,15,3040,  48.69,-121.91,Elbow Lake,SNTL:910
84.4,41.18,911,2021-04-01,2021,183,53,2021,53,26.5,2021-04-01,183,2021-04-01,187,2021-04-05,TBD,53,NA,15,3810,  47.30,-121.60,Rex River,SNTL:911
86.43,33.24,912,2021-04-01,2021,183,67.7,2021,67.8,33.9,2021-03-31,182,2021-03-31,187,2021-04-05,TBD,67.7,NA,15,3310,  47.68,-121.61,Skookum Creek,SNTL:912
83.22,46,928,2021-04-01,2021,183,0,2021,4.5,2.25,2021-03-01,152,2021-03-01,171,2021-03-20,2021-03-20,0,NA,13,2250,  47.07,-121.59,Huckleberry Creek,SNTL:928
77.24,47.48,941,2021-04-01,2021,183,0,2021,5.1,2.55,2021-03-01,152,2021-03-01,165,2021-03-14,2021-03-14,0,NA,12,3160,  46.93,-121.95,Mowich,SNTL:941
78.02,45.23,942,2021-04-01,2021,183,23.9,2021,23.9,11.95,2021-04-01,183,2021-04-01,186,2021-04-04,TBD,23.9,NA,11,4170,  47.04,-121.94,Burnt Mountain,SNTL:942
66.72,23.38,943,2021-04-01,2021,183,13.6,2021,14,7,2021-03-31,182,2021-03-31,187,2021-04-05,TBD,13.6,NA,12,4010,  47.87,-123.08,Dungeness,SNTL:943
62.21,20.48,974,2021-04-01,2021,183,55.5,2021,55.6,27.8,2021-04-05,187,TBD,187,2021-04-05,TBD,55.5,NA,11,5010,  47.94,-123.43,Waterhole,SNTL:974
103.19,17.96,975,2021-04-01,2021,183,22.1,2021,22.1,11.05,2021-04-01,183,2021-04-01,187,2021-04-05,TBD,22.1,NA,11,3930,  48.57,-120.78,Swamp Creek,SNTL:975
137.37,79.56,984,2021-04-01,2021,183,19.2,2021,19.3,9.65,2021-03-31,182,2021-03-31,187,2021-04-05,TBD,19.2,NA,10,5700,  46.18,-117.54,Spruce Springs,SNTL:984
139.86,78.8,985,2021-04-01,2021,183,0,2021,3.7,1.85,2021-03-13,164,2021-03-13,173,2021-03-22,2021-03-22,0,NA,10,4000,  46.24,-117.39,Sourdough Gulch,SNTL:985
98.19,9.72,990,2021-04-01,2021,183,44.6,2021,45.2,22.6,2021-03-29,180,2021-03-29,187,2021-04-05,TBD,44.6,NA,9,3630,  48.88,-121.26,Beaver Pass,SNTL:990
95.56,9.45,998,2021-04-01,2021,183,98.3,2021,99.5,49.75,2021-04-05,187,TBD,187,2021-04-05,TBD,98.3,NA,1,5270,  48.86,-121.44,Easy Pass,SNTL:998
91.36,10.51,999,2021-04-01,2021,183,72.5,2021,73.2,36.6,2021-04-05,187,TBD,187,2021-04-05,TBD,72.5,NA,4,3520,  48.76,-121.70,Marten Ridge,SNTL:999
271.8,326.99,1017,2021-04-01,2021,183,9.2,2021,10,5,2021-03-27,178,2021-03-27,187,2021-04-05,TBD,9.2,NA,9,9306,  36.03,-106.81,Vacas Locas,SNTL:1017
283.57,386,1034,2021-04-01,2021,183,0,2021,1.3,0.65,2021-02-17,140,2021-02-17,148,2021-02-25,2021-02-25,0,NA,8,10280,  33.40,-105.79,Sierra Blanca,SNTL:1034
245.25,390.17,1048,2021-04-01,2021,183,0,2021,2.7,1.35,2021-02-21,144,2021-02-21,156,2021-03-05,2021-03-05,0,NA,7,9240,  33.01,-107.87,Mcknight Cabin,SNTL:1048
294.2,327.19,1083,2021-04-01,2021,183,0,2021,2.6,1.3,2021-02-02,125,2021-02-02,131,2021-02-08,2021-02-08,0,NA,4,8600,  36.13,-105.53,Tres Ritos,SNTL:1083
235.24,319.09,1138,2021-04-01,2021,183,NA,2021,0.4,0.2,2020-10-26,26,2020-10-26,187,2021-04-05,TBD,NA,NA,1,9050,  36.18,-108.95,Navajo Whiskey Ck,SNTL:1138
296.39,317.53,1168,2021-04-01,2021,183,19,2021,19.1,9.55,2021-04-03,185,2021-04-03,187,2021-04-05,TBD,19,NA,NA,11057,  36.58,-105.46,Taos Powderhorn,SNTL:1168
300.62,313.33,1169,2021-04-01,2021,183,8.9,2021,9.2,4.6,2021-03-31,182,2021-03-31,187,2021-04-05,TBD,8.9,NA,NA,10100,  36.79,-105.24,Shuree,SNTL:1169
298.26,321.45,1170,2021-04-01,2021,183,4,2021,6.1,3.05,2021-03-17,168,2021-03-17,187,2021-04-05,TBD,4,NA,NA,9350,  36.41,-105.33,Palo,SNTL:1170
283.79,310.06,1172,2021-04-01,2021,183,8.2,2021,8.4,4.2,2021-03-31,182,2021-03-31,187,2021-04-05,TBD,8.2,NA,NA,9100,  36.86,-106.23,San Antonio Sink,SNTL:1172
276.25,327.93,1173,2021-04-01,2021,183,0.4,2021,5.1,2.55,2021-03-03,154,2021-03-03,165,2021-03-14,2021-03-14,0.4,NA,NA,10160,  36.01,-106.55,Garita Peak,SNTL:1173
292.33,328.32,1254,2021-04-01,2021,183,12.4,2021,12.5,6.25,2021-03-30,181,2021-03-30,187,2021-04-05,TBD,12.4,NA,NA,10664,  36.07,-105.63,Rio Santa Barbara,SNTL:1254
281.42,317.5,316,2021-04-01,2021,183,9.8,2021,10.6,5.3,2021-03-29,180,2021-03-29,187,2021-04-05,TBD,9.8,0.3333333333333333,30,9300,  36.51,-106.32,Bateman,SNTL:316
276.67,307.08,394,2021-04-01,2021,183,7.6,2021,8.6,4.3,2021-03-27,178,2021-03-27,187,2021-04-05,TBD,7.6,0.5,30,8400,  36.96,-106.66,Chamita,SNTL:394
228,371.86,486,2021-04-01,2021,183,0,2021,1.3,0.65,2021-02-03,126,2021-02-03,134,2021-02-11,2021-02-11,0,0.9,30,8000,  33.74,-108.95,Frisco Divide,SNTL:486
293.81,325.84,491,2021-04-01,2021,183,7.4,2021,8.4,4.2,2021-03-27,178,2021-03-27,183,2021-04-01,TBD,7.4,0.2,30,9800,  36.19,-105.56,Gallegos Peak,SNTL:491
282.95,313.05,532,2021-04-01,2021,183,15.3,2021,15.5,7.75,2021-03-30,181,2021-03-30,187,2021-04-05,TBD,15.3,0.3,30,10000,  36.72,-106.26,Hopewell,SNTL:532
246.91,382.69,595,2021-04-01,2021,183,0,2021,1.5,0.75,2021-02-21,144,2021-02-21,149,2021-02-26,2021-02-26,0,0.9666666666666667,30,8500,  33.36,-107.83,Lookout Mountain,SNTL:595
300.7,308.95,665,2021-04-01,2021,183,7.7,2021,7.7,3.85,2021-04-01,183,2021-04-01,187,2021-04-05,TBD,7.7,0.6666666666666666,30,10600,  36.99,-105.26,North Costilla,SNTL:665
278.81,330.19,708,2021-04-01,2021,183,0,2021,4.3,2.15,2021-03-03,154,2021-03-03,163,2021-03-12,2021-03-12,0,0.03333333333333333,30,9500,  35.92,-106.39,Quemazon,SNTL:708
298.71,315.12,715,2021-04-01,2021,183,8,2021,8,4,2021-04-02,184,2021-04-02,187,2021-04-05,TBD,8,0.5333333333333333,30,9850,  36.70,-105.34,Red River Pass #2,SNTL:715
